代码,名称,收盘价,涨幅%,量比,标签,板块
688484.SH,南芯科技,52.67,20.0,2.8,首次★,其他
300843.SZ,胜蓝股份,117.62,20.0,1.52,首次★,其他
301099.SZ,雅创电子,88.87,20.0,0.96,首次★,电子
300145.SZ,南方泵业,5.65,19.96,1.15,首次★,机械行业
688337.SH,普源精电,79.0,17.56,1.52,首次★,其他
300709.SZ,精研科技,60.1,16.72,1.44,首次★,其他
688143.SH,长盈通,218.0,15.22,1.2,首次★,其他
688669.SH,聚石化学,56.92,15.13,1.53,首次★,化工
688433.SH,华曙高科,109.79,14.94,2.59,首次★,其他
301070.SZ,开勒股份,85.68,14.91,2.47,首次★,其他
300620.SZ,光库科技,392.49,14.41,1.53,首次★,其他
688551.SH,科威尔,70.94,13.61,0.98,首次★,其他
688056.SH,莱伯泰科,70.12,13.46,1.11,首次★,其他
300488.SZ,恒锋工具,44.3,13.01,1.37,首次★,其他
301086.SZ,鸿富瀚,198.25,12.94,1.44,首次★,其他
300088.SZ,长信科技,8.81,12.37,1.47,首次★,电子器件
688700.SH,东威科技,97.87,12.09,1.22,首次★,其他
688772.SH,珠海冠宇,21.72,12.02,1.63,首次★,其他
300726.SZ,宏达电子,80.96,11.81,1.89,首次★,电子
688237.SH,超卓航科,58.51,11.41,2.84,首次★,其他
688786.SH,悦安新材,48.5,10.86,1.02,首次★,其他
688549.SH,中巨芯,29.89,10.62,0.77,首次★,其他
300410.SZ,正业科技,12.99,10.08,1.6,首次★,仪器仪表
601636.SH,旗滨集团,7.88,10.06,0.99,首次★,玻璃行业
600888.SH,XD新疆众,12.49,10.04,1.27,首次★,有色金属
600206.SH,有研新材,39.11,10.01,0.64,首次★,电子器件
603618.SH,杭电股份,47.03,10.01,0.52,首次★,发电设备
600353.SH,旭光电子,34.72,10.01,0.05,首次★,电子器件
605289.SH,罗曼股份,130.42,10.0,2.11,首次★,其他
002436.SZ,兴森科技,44.1,10.0,1.31,首次★,电子器件
002851.SZ,麦格米特,163.64,10.0,0.86,首次★,其他
605006.SH,山东玻纤,23.98,10.0,0.67,首次★,其他
603186.SH,华正新材,206.06,10.0,0.33,首次★,其他
002552.SZ,宝鼎科技,70.93,10.0,0.21,首次★,机械行业
603663.SH,三祥新材,82.98,9.99,0.68,首次★,其他
002585.SZ,双星新材,14.01,9.97,0.35,首次★,塑料制品
002051.SZ,中工国际,12.77,9.9,1.64,首次★,建筑建材
688498.SH,源杰科技,1608.88,9.83,0.96,首次★,其他
000608.SZ,阳光股份,7.16,9.82,0.9,首次★,房地产
300806.SZ,斯迪克,97.0,9.8,1.42,首次★,其他
605376.SH,博迁新材,213.0,9.39,1.06,首次★,其他
300868.SZ,杰美特,141.59,9.34,1.03,首次★,其他
300985.SZ,致远新能,34.41,9.34,1.0,首次★,其他
300661.SZ,圣邦股份,127.5,9.13,1.25,首次★,其他
000922.SZ,佳电股份,14.5,9.02,3.79,首次★,电器行业
688112.SH,鼎阳科技,79.96,8.83,1.38,首次★,其他
301132.SZ,满坤科技,44.05,8.66,2.1,首次★,其他
688147.SH,微导纳米,109.2,8.66,1.18,首次★,其他
000636.SZ,风华高科,70.61,8.58,1.03,首次★,电子器件
300720.SZ,海川智能,79.56,8.38,1.43,首次★,人工智能
301314.SZ,科瑞思,58.23,7.85,1.55,首次★,其他
300821.SZ,东岳硅材,18.84,7.29,1.12,首次★,其他
301200.SZ,大族数控,326.0,7.1,1.34,首次★,其他
688610.SH,埃科光电,241.0,7.07,1.0,首次★,电子
688260.SH,昀冢科技,103.01,6.95,1.13,首次★,其他
300656.SZ,民德电子,40.04,6.89,1.27,首次★,电子
002903.SZ,宇环数控,53.21,6.63,1.34,首次★,其他
600345.SH,长江通信,63.7,6.58,1.07,首次★,电子信息
300331.SZ,苏大维格,71.74,6.55,1.03,首次★,电子器件
