代码,名称,收盘价,涨幅%,量比,标签,板块
300873.SZ,海晨股份,33.77,20.01,4.01,首次★,其他
300540.SZ,蜀道装备,37.9,20.01,1.31,首次★,机械
301165.SZ,锐捷网络,80.45,20.0,1.96,首次★,其他
301607.SZ,富特科技,52.25,20.0,1.67,首次★,其他
688048.SH,长光华芯,502.0,20.0,1.54,首次★,其他
688502.SH,茂莱光学,693.6,20.0,1.17,首次★,电子
300545.SZ,联得装备,46.2,20.0,1.12,首次★,机械
688328.SH,深科达,95.7,20.0,0.99,首次★,其他
688286.SH,敏芯股份,115.07,20.0,0.98,首次★,其他
300321.SZ,同大股份,64.38,20.0,0.97,首次★,塑料制品
688503.SH,聚和材料,132.7,19.87,2.06,首次★,其他
688209.SH,英集芯,29.08,16.51,1.87,首次★,其他
300975.SZ,商络电子,51.75,16.32,1.43,首次★,电子
300964.SZ,本川智能,86.17,15.42,1.41,首次★,人工智能
688620.SH,安凯微,16.2,15.38,1.97,首次★,其他
301520.SZ,万邦医药,32.5,15.0,11.36,首次★,医药
688319.SH,欧林生物,43.98,14.86,2.0,首次★,医药
688699.SH,明微电子,81.95,14.15,1.15,首次★,电子
300201.SZ,海伦哲,21.07,14.14,1.92,首次★,机械行业
301095.SZ,广立微,118.05,13.93,1.45,首次★,其他
300077.SZ,国民技术,31.35,13.88,1.08,首次★,电子器件
688729.SH,屹唐股份,43.0,12.89,1.09,首次★,次新股
301396.SZ,宏景科技,331.6,12.79,0.92,首次★,其他
688181.SH,八亿时空,62.6,12.57,1.15,首次★,其他
301588.SZ,美新科技,43.76,12.52,1.16,首次★,其他
300566.SZ,激智科技,36.95,12.45,1.44,首次★,其他
301115.SZ,联检科技,35.06,12.3,1.46,首次★,其他
301297.SZ,富乐德,61.24,12.12,1.65,首次★,其他
301321.SZ,翰博高新,44.15,12.08,1.37,首次★,其他
688550.SH,瑞联新材,57.85,12.07,1.47,首次★,其他
300083.SZ,创世纪,13.62,12.01,1.12,首次★,电子器件
688702.SH,盛科通信,389.99,11.39,1.22,首次★,通信
300863.SZ,卡倍亿,76.63,11.28,1.47,首次★,其他
688103.SH,国力电子,74.41,11.26,1.69,首次★,电子
301626.SZ,苏州天脉,383.96,10.49,1.23,首次★,其他
301312.SZ,智立方,116.01,10.48,1.56,首次★,其他
688559.SH,海目星,83.92,10.39,1.21,首次★,其他
688187.SH,时代电气,68.66,10.28,1.49,首次★,其他
002631.SZ,德尔未来,11.29,10.04,0.58,首次★,家具行业
000100.SZ,TCL科技,5.82,10.02,0.67,首次★,家电行业
002407.SZ,多氟多,50.23,10.01,1.06,首次★,化工行业
603125.SH,常青科技,32.74,10.01,0.49,首次★,其他
603950.SH,长源东谷,84.43,10.01,0.36,首次★,其他
603019.SH,中科曙光,107.23,10.0,1.51,首次★,电子信息
002955.SZ,鸿合科技,35.75,10.0,1.45,首次★,其他
603991.SH,领先股份,141.15,10.0,1.28,首次★,其他
600378.SH,XD昊华科,75.38,10.0,1.23,首次★,化工行业
002587.SZ,奥拓电子,7.81,10.0,1.05,首次★,电子器件
600184.SH,光电股份,32.01,10.0,0.65,首次★,玻璃行业
000811.SZ,冰轮环境,56.22,10.0,0.51,首次★,机械行业
600641.SH,先导基电,39.86,9.99,0.8,首次★,房地产
002654.SZ,万润科技,22.26,9.98,1.13,首次★,电子器件
301067.SZ,显盈科技,37.82,9.97,1.6,首次★,其他
688372.SH,伟测科技,186.0,9.83,1.33,首次★,其他
688216.SH,气派科技,42.01,9.37,1.35,首次★,其他
688170.SH,德龙激光,96.01,9.25,1.13,首次★,其他
000725.SZ,京东方Ａ,8.68,9.18,1.37,首次★,电子器件
300502.SZ,新易盛,607.0,8.98,1.09,首次★,其他
301678.SZ,新恒汇,78.84,8.88,1.48,首次★,次新股
002653.SZ,海思科,66.34,8.65,2.36,首次★,生物制药
688332.SH,中科蓝讯,157.5,8.6,0.99,首次★,其他
688261.SH,东微半导,104.93,8.57,1.43,首次★,其他
301307.SZ,美利信,75.29,8.36,2.13,首次★,其他
300506.SZ,ST名家汇,6.5,7.97,0.9,首次★,其他
300607.SZ,拓斯达,41.23,7.82,1.07,首次★,其他
688391.SH,钜泉科技,35.87,7.78,1.36,首次★,其他
300480.SZ,光力科技,42.68,7.78,1.16,首次★,其他
688141.SH,杰华特,153.5,7.67,1.02,首次★,其他
688378.SH,奥来德,62.0,7.45,1.12,首次★,其他
300661.SZ,圣邦股份,143.48,7.4,1.24,首次★,其他
300894.SZ,火星人,12.56,7.17,1.66,首次★,其他
300814.SZ,中富电路,204.5,7.02,1.0,首次★,其他
688179.SH,阿拉丁,27.71,6.82,0.67,首次★,其他
300042.SZ,朗科科技,76.17,6.56,1.19,首次★,电子信息
