代码,名称,收盘价,涨幅%,量比,标签,板块
688163.SH,赛伦生物,45.04,20.01,2.98,持续,医药
301323.SZ,新莱福,103.78,20.0,2.18,持续,其他
688010.SH,福光股份,47.84,19.99,3.25,持续,其他
301176.SZ,逸豪新材,56.6,19.99,1.45,持续,其他
688662.SH,富信科技,150.8,17.81,2.06,持续,其他
300566.SZ,激智科技,32.26,11.24,1.64,持续,其他
688388.SH,嘉元科技,57.87,10.97,1.73,持续,其他
301217.SZ,铜冠铜箔,141.8,10.8,1.43,持续,有色金属
603020.SH,爱普股份,13.04,10.04,1.56,持续,食品行业
603065.SH,宿迁联盛,13.6,10.03,0.56,持续,其他
002971.SZ,和远气体,58.03,10.01,2.43,持续,其他
002203.SZ,海亮股份,23.44,10.0,2.85,持续,有色金属
603120.SH,肯特催化,57.84,10.0,2.79,持续,其他
600500.SH,中化国际,7.93,9.99,9.53,持续,物资外贸
300234.SZ,开尔新材,10.8,9.76,1.24,持续,陶瓷行业
301377.SZ,鼎泰高科,471.3,9.38,1.21,持续,其他
688689.SH,银河微电,46.82,9.26,2.27,持续,其他
300263.SZ,隆华科技,15.44,8.89,2.75,持续,机械行业
603976.SH,正川股份,27.19,8.76,1.91,持续,其他
603608.SH,天创时尚,26.39,7.93,1.24,持续,其他
688020.SH,方邦股份,191.5,7.58,1.38,持续,其他
301526.SZ,国际复材,28.44,7.52,1.25,持续,其他
688323.SH,瑞华泰,43.1,7.35,1.12,持续,其他
688082.SH,盛美上海,304.66,7.27,1.64,持续,其他
300586.SZ,美联新材,13.19,7.15,1.42,持续,其他
301107.SZ,瑜欣电子,25.51,7.14,1.23,持续,电子
603733.SH,仙鹤股份,28.96,6.78,2.32,持续,其他
002636.SZ,金安国纪,89.88,5.99,1.54,持续,电子器件
600110.SH,诺德股份,12.94,5.89,1.71,持续,电力行业
300706.SZ,阿石创,71.85,5.85,2.02,持续,其他
688300.SH,联瑞新材,188.06,5.85,1.15,持续,其他
300307.SZ,慈星股份,8.2,5.81,1.72,持续,机械行业
688147.SH,微导纳米,94.56,5.31,2.54,持续,其他
002955.SZ,鸿合科技,32.33,5.21,1.35,持续,其他
300400.SZ,劲拓股份,39.27,4.89,1.03,持续,机械行业
002832.SZ,比音勒芬,21.37,4.81,1.27,持续,其他
300054.SZ,鼎龙股份,78.99,4.65,2.28,持续,化工行业
688059.SH,华锐精密,180.92,4.58,1.06,持续,其他
688233.SH,神工股份,104.1,4.57,2.49,持续,其他
301568.SZ,思泰克,87.94,4.38,1.1,持续,其他
300334.SZ,津膜科技,13.41,4.28,1.1,持续,机械行业
300570.SZ,太辰光,185.08,4.22,1.33,持续,其他
002718.SZ,友邦吊顶,101.48,4.0,1.67,持续,家具行业
688257.SH,新锐股份,80.36,3.69,1.78,持续,其他
688545.SH,XD兴福电,108.0,3.63,1.95,持续,其他
688409.SH,富创精密,182.0,3.6,1.48,持续,其他
600498.SH,烽火通信,63.13,3.51,1.24,持续,电子信息
301511.SZ,德福科技,138.26,3.51,1.13,持续,其他
688056.SH,莱伯泰科,60.27,3.13,0.84,持续,其他
002057.SZ,中钢天源,11.68,2.82,1.63,持续,电子器件
000001.SZ,平安银行,11.24,2.74,1.71,持续,金融行业
003036.SZ,泰坦股份,82.16,2.46,0.97,持续,其他
002119.SZ,康强电子,31.96,2.44,3.06,持续,电子器件
601328.SH,交通银行,7.14,2.44,1.89,持续,金融行业
300709.SZ,精研科技,48.38,2.43,2.22,持续,其他
605318.SH,法狮龙,130.01,2.38,1.58,持续,其他
603303.SH,XD得邦照,32.7,2.19,1.48,持续,其他
300331.SZ,苏大维格,65.91,2.06,1.12,持续,电子器件
300558.SZ,贝达药业,53.86,2.01,1.26,持续,医药
300786.SZ,国林科技,20.76,1.96,1.51,持续,其他
002937.SZ,兴瑞科技,37.6,1.73,1.85,持续,其他
603060.SH,国检集团,7.61,1.6,1.56,持续,其他
601838.SH,成都银行,20.07,1.57,1.2,持续,金融
601398.SH,工商银行,7.78,1.57,1.01,持续,金融行业
601988.SH,中国银行,6.29,1.45,1.09,持续,金融行业
600900.SH,长江电力,28.28,1.4,1.48,持续,电力行业
688605.SH,先锋精科,83.9,1.37,1.74,持续,其他
000657.SZ,中钨高新,79.0,1.35,1.65,持续,有色金属
600176.SH,中国巨石,41.61,1.31,1.25,持续,玻璃行业
688383.SH,新益昌,158.0,1.28,1.7,持续,其他
688218.SH,江苏北人,53.3,1.27,1.0,持续,其他
300825.SZ,阿尔特,15.25,1.19,1.07,持续,其他
688525.SH,佰维存储,327.9,1.12,1.52,持续,其他
600183.SH,生益科技,151.28,1.04,1.21,持续,电子器件
601939.SH,建设银行,10.7,0.94,0.95,持续,金融行业
600919.SH,江苏银行,11.89,0.93,0.93,持续,金融
603823.SH,百合花,43.01,0.89,1.08,持续,其他
600345.SH,长江通信,57.47,0.81,1.42,持续,电子信息
300260.SZ,新莱应材,73.14,0.49,1.03,持续,机械行业
688627.SH,精智达,414.48,0.47,1.29,持续,其他
600228.SH,返利科技,7.48,0.4,1.15,持续,化工行业
688630.SH,芯碁微装,394.0,0.08,1.01,持续,其他
603186.SH,华正新材,170.3,-0.05,1.05,持续,其他
603283.SH,赛腾股份,50.9,-0.06,2.13,持续,其他
603124.SH,江南新材,178.7,-0.06,1.15,持续,其他
300976.SZ,达瑞电子,67.01,-0.13,1.29,持续,电子
605186.SH,健麾信息,34.27,-0.17,1.78,持续,其他
603150.SH,万朗磁塑,76.43,-0.18,0.96,持续,其他
603324.SH,盛剑科技,33.76,-0.21,2.5,持续,其他
301389.SZ,隆扬电子,92.99,-0.33,1.56,持续,电子
300720.SZ,海川智能,73.49,-0.51,1.36,持续,人工智能
003043.SZ,华亚智能,81.59,-0.51,0.88,持续,人工智能
688669.SH,聚石化学,48.41,-0.58,0.96,持续,化工
601208.SH,东材科技,61.06,-1.07,1.2,持续,化工行业
603311.SH,金海高科,38.51,-1.08,1.14,持续,其它行业
601137.SH,博威合金,24.41,-1.21,1.53,持续,有色金属
002409.SZ,雅克科技,132.99,-1.35,2.05,持续,化工行业
603256.SH,宏和科技,207.89,-1.47,1.0,持续,其他
300951.SZ,博硕科技,42.96,-1.69,0.89,持续,其他
300747.SZ,锐科激光,47.96,-1.82,1.24,持续,其他
301072.SZ,中捷精工,34.35,-1.86,0.62,持续,其他
300554.SZ,三超新材,28.62,-1.92,1.11,持续,其他
600665.SH,天地源,3.99,-1.97,3.11,持续,房地产
688598.SH,金博股份,33.9,-1.99,1.74,持续,其他
000921.SZ,海信家电,28.7,-2.05,3.03,持续,家电行业
603663.SH,三祥新材,72.6,-2.41,1.02,持续,其他
688519.SH,南亚新材,297.19,-2.72,1.12,持续,其他
300656.SZ,民德电子,35.89,-2.79,1.02,持续,电子
688809.SH,强一股份,569.32,-2.87,1.35,持续,次新股
