代码,名称,收盘价,涨幅%,量比,标签,板块
002409.SZ,雅克科技,207.46,10.0,1.17,持续,化工行业
002821.SZ,凯莱英,167.75,10.0,0.99,持续,其他
605178.SH,时空科技,97.35,10.0,0.65,持续,其他
001229.SZ,魅视科技,33.02,9.99,1.58,持续,其他
603155.SH,新亚强,27.87,9.98,1.67,持续,其他
601636.SH,旗滨集团,9.82,9.97,0.3,持续,玻璃行业
600707.SH,彩虹股份,15.35,9.96,1.16,持续,电子器件
002674.SZ,兴业科技,31.7,9.95,20.83,持续,服装鞋类
688202.SH,美迪西,77.35,9.61,1.36,持续,其他
300054.SZ,鼎龙股份,104.0,9.39,1.32,持续,化工行业
688396.SH,华润微,92.47,9.15,1.03,持续,其他
603986.SH,兆易创新,840.0,9.09,1.0,持续,芯片
600206.SH,有研新材,66.27,9.07,1.16,持续,电子器件
688131.SH,皓元医药,98.11,8.83,1.34,持续,医药
688147.SH,微导纳米,138.98,8.74,1.08,持续,其他
688409.SH,富创精密,298.0,8.44,1.56,持续,其他
605111.SH,新洁能,90.13,8.42,1.25,持续,其他
300720.SZ,海川智能,96.02,8.03,1.06,持续,人工智能
301045.SZ,天禄科技,74.23,8.0,1.69,持续,其他
688392.SH,骄成超声,218.03,7.94,1.45,持续,其他
600667.SH,太极实业,29.0,7.89,1.74,持续,电子器件
000962.SZ,东方钽业,93.88,7.87,1.06,持续,有色金属
688627.SH,精智达,705.0,7.85,1.04,持续,其他
300666.SZ,江丰电子,382.48,7.81,1.21,持续,电子
003026.SZ,中晶科技,43.0,7.8,1.43,持续,其他
300604.SZ,长川科技,337.9,7.3,1.0,持续,其他
300567.SZ,精测电子,295.0,7.27,1.14,持续,电子
301392.SZ,汇成真空,261.12,7.1,1.27,持续,其他
603259.SH,药明康德,126.17,6.76,1.41,持续,医药
688123.SH,聚辰股份,202.0,6.63,0.99,持续,其他
301308.SZ,江波龙,723.1,6.4,0.98,持续,其他
600552.SH,凯盛科技,31.48,6.35,1.63,持续,玻璃行业
688361.SH,中科飞测,376.24,5.98,1.42,持续,其他
603010.SH,万盛股份,17.59,5.9,1.87,持续,化工行业
603929.SH,亚翔集成,276.2,5.88,1.98,持续,其他
605376.SH,博迁新材,279.5,5.87,1.23,持续,其他
002371.SZ,北方华创,860.19,5.76,1.29,持续,电子器件
688584.SH,上海合晶,35.8,5.67,1.71,持续,其他
688046.SH,药康生物,24.08,5.61,1.39,持续,医药
600397.SH,江钨装备,27.5,5.61,0.92,持续,煤炭行业
600160.SH,巨化股份,53.8,5.59,1.12,持续,化工行业
301611.SZ,珂玛科技,177.0,5.57,1.21,持续,其他
688401.SH,路维光电,94.56,5.5,1.19,持续,电子
603203.SH,快克智能,80.0,5.26,1.03,持续,人工智能
688605.SH,先锋精科,104.15,5.2,1.71,持续,其他
603324.SH,盛剑科技,53.65,5.15,0.92,持续,其他
301418.SZ,协昌科技,57.02,5.14,1.17,持续,其他
688347.SH,华虹宏力,339.14,5.0,0.91,持续,其他
300398.SZ,飞凯材料,64.26,4.85,1.39,持续,化工行业
300655.SZ,晶瑞电材,19.42,4.8,1.59,持续,其他
600460.SH,士兰微,52.59,4.39,1.45,持续,电子器件
688669.SH,聚石化学,97.97,4.22,1.07,持续,化工
300592.SZ,华凯易佰,17.61,4.02,0.86,持续,其他
000510.SZ,新金路,26.3,3.83,1.13,持续,化工行业
300223.SZ,北京君正,242.05,3.79,1.19,持续,电子器件
600459.SH,贵研铂业,29.17,3.77,1.07,持续,有色金属
600999.SH,招商证券,21.2,3.52,0.94,持续,金融行业
002179.SZ,中航光电,44.1,3.3,1.28,持续,电子器件
301178.SZ,天亿马,47.05,2.8,1.32,持续,其他
300285.SZ,国瓷材料,105.55,2.67,0.97,持续,化工行业
300382.SZ,斯莱克,21.32,2.45,1.0,持续,机械行业
300776.SZ,帝尔激光,199.0,2.31,1.26,持续,其他
000636.SZ,风华高科,80.27,2.25,1.04,持续,电子器件
600497.SH,驰宏锌锗,12.8,2.07,1.05,持续,有色金属
300820.SZ,英杰电气,85.12,2.03,1.06,持续,其他
002106.SZ,莱宝高科,15.93,1.98,1.64,持续,电子器件
688028.SH,沃尔德,144.24,1.94,1.2,持续,其他
688720.SH,艾森股份,96.0,1.85,1.41,持续,其他
688359.SH,三孚新科,192.04,1.82,1.74,持续,其他
601995.SH,中金公司,36.2,1.8,0.87,持续,其他
688469.SH,芯联集成,10.15,1.7,1.02,持续,其他
002635.SZ,安洁科技,19.87,1.64,1.71,持续,电子信息
688115.SH,思林杰,71.44,1.61,1.28,持续,其他
603678.SH,火炬电子,80.43,1.18,1.24,持续,电子器件
605020.SH,永和股份,41.67,1.09,1.07,持续,其他
688072.SH,拓荆科技,832.0,1.09,0.93,持续,其他
002643.SZ,万润股份,19.62,0.93,1.33,持续,化工行业
301618.SZ,长联科技,47.71,0.51,0.99,持续,其他
600563.SH,XD法拉电,189.4,0.34,1.1,持续,电子器件
600962.SH,国投中鲁,29.02,0.07,4.89,持续,食品行业
001389.SZ,广合科技,220.49,-0.18,1.54,持续,其他
603690.SH,至纯科技,35.39,-0.28,1.35,持续,其他
300440.SZ,运达科技,21.29,-0.33,0.95,持续,电子信息
688536.SH,XD思瑞浦,343.3,-0.5,1.42,持续,其他
603281.SH,江瀚新材,41.9,-0.55,1.31,持续,其他
300429.SZ,强力新材,16.94,-0.65,1.12,持续,化工行业
603938.SH,三孚股份,74.98,-1.09,1.18,持续,其他
600630.SH,龙头股份,9.63,-1.13,1.04,持续,纺织行业
301349.SZ,信德新材,74.55,-1.39,1.58,持续,其他
600237.SH,铜峰电子,13.01,-1.51,1.1,持续,电子器件
002861.SZ,瀛通通讯,21.75,-1.81,0.95,持续,其他
002119.SZ,康强电子,36.29,-1.97,1.78,持续,电子器件
300219.SZ,鸿利智汇,9.81,-2.39,1.36,持续,电子器件
688665.SH,四方光电,62.27,-2.58,0.99,持续,电子
300985.SZ,致远新能,35.88,-2.71,1.03,持续,其他
603688.SH,石英股份,84.13,-2.85,0.93,持续,其它行业
