代码,名称,收盘价,涨幅%,量比,标签,板块
301356.SZ,天振股份,28.73,20.01,6.92,首次★,其他
300243.SZ,瑞丰高材,23.46,20.0,1.92,首次★,化工行业
300179.SZ,四方达,57.48,20.0,1.51,首次★,其他
301071.SZ,力量钻石,91.92,20.0,1.47,首次★,其他
688662.SH,富信科技,171.49,20.0,0.69,首次★,其他
300522.SZ,世名科技,23.05,19.99,2.13,首次★,其他
688367.SH,工大高科,44.6,19.99,2.05,首次★,其他
300401.SZ,花园生物,19.87,19.99,1.34,首次★,食品行业
301580.SZ,爱迪特,75.8,19.99,0.58,首次★,其他
688530.SH,欧莱新材,78.58,19.22,1.02,首次★,其他
300951.SZ,博硕科技,58.28,17.74,2.61,首次★,其他
301160.SZ,翔楼新材,55.24,17.56,3.7,首次★,其他
688286.SH,敏芯股份,93.84,17.45,2.75,首次★,其他
688757.SH,胜科纳米,73.7,15.34,1.39,首次★,其他
688478.SH,晶升股份,92.68,15.22,1.98,首次★,其他
688143.SH,长盈通,218.0,15.22,1.2,首次★,其他
301591.SZ,肯特股份,56.36,15.11,1.34,首次★,其他
688548.SH,广钢气体,38.38,14.88,1.35,首次★,其他
300283.SZ,温州宏丰,25.53,14.74,1.02,首次★,电器行业
300857.SZ,协创数据,316.81,14.06,1.33,首次★,其他
300319.SZ,麦捷科技,31.63,13.94,1.6,首次★,电子器件
688515.SH,裕太微,271.6,13.74,2.1,首次★,其他
688766.SH,普冉股份,670.31,13.61,0.88,首次★,其他
300475.SZ,香农芯创,287.8,12.92,1.0,首次★,其他
688498.SH,源杰科技,1873.5,11.96,0.76,首次★,其他
301618.SZ,长联科技,43.42,11.33,2.83,首次★,其他
300382.SZ,斯莱克,17.88,10.85,2.59,首次★,机械行业
300671.SZ,富满微,66.88,10.6,1.65,首次★,其他
688056.SH,莱伯泰科,77.79,10.56,0.74,首次★,其他
300285.SZ,国瓷材料,98.9,10.47,0.92,首次★,化工行业
300943.SZ,春晖智控,45.69,10.36,2.17,首次★,其他
600162.SH,香江控股,3.94,10.06,0.71,首次★,房地产
002068.SZ,黑猫股份,11.5,10.05,2.76,首次★,化工行业
603976.SH,正川股份,28.12,10.02,0.58,首次★,其他
603002.SH,XD宏昌电,25.94,10.01,1.62,首次★,化工行业
605020.SH,永和股份,37.59,10.01,1.59,首次★,其他
002805.SZ,丰元股份,29.57,10.01,1.18,首次★,其他
600869.SH,远东股份,36.15,10.01,0.88,首次★,电力行业
001359.SZ,平安电工,111.56,10.01,0.75,首次★,金融
600367.SH,红星发展,62.22,10.01,0.54,首次★,化工行业
002297.SZ,博云新材,31.2,10.01,0.29,首次★,其它行业
603989.SH,艾华集团,45.65,10.0,1.92,首次★,其它行业
601066.SH,中信建投,27.39,10.0,1.91,首次★,金融
603083.SH,剑桥科技,235.99,10.0,1.22,首次★,其他
601958.SH,金钼股份,30.47,10.0,1.2,首次★,有色金属
603663.SH,三祥新材,96.24,10.0,1.15,首次★,其他
600160.SH,巨化股份,48.53,10.0,0.94,首次★,化工行业
002655.SZ,共达电声,46.87,10.0,0.93,首次★,电子器件
000962.SZ,东方钽业,69.2,10.0,0.9,首次★,有色金属
600345.SH,长江通信,71.26,10.0,0.88,首次★,电子信息
002409.SZ,雅克科技,165.18,10.0,0.82,首次★,化工行业
002842.SZ,翔鹭钨业,52.49,10.0,0.82,首次★,其他
600549.SH,厦门钨业,94.5,10.0,0.82,首次★,有色金属
601869.SH,长飞光纤,518.71,10.0,0.57,首次★,其他
603823.SH,百合花,51.38,10.0,0.57,首次★,其他
600206.SH,有研新材,46.76,10.0,0.55,首次★,电子器件
003031.SZ,中瓷电子,193.92,10.0,0.54,首次★,电子
002428.SZ,云南锗业,110.48,10.0,0.31,首次★,有色金属
600353.SH,旭光电子,46.21,10.0,0.17,首次★,电子器件
002674.SZ,兴业科技,19.69,10.0,0.08,首次★,服装鞋类
603380.SH,易德龙,45.13,9.99,4.51,首次★,其他
600228.SH,返利科技,8.92,9.99,1.0,首次★,化工行业
600552.SH,凯盛科技,25.65,9.99,0.7,首次★,玻璃行业
603065.SH,宿迁联盛,17.18,9.99,0.53,首次★,其他
002057.SZ,中钢天源,13.34,9.98,1.13,首次★,电子器件
600703.SH,三安光电,19.29,9.98,1.0,首次★,电子器件
002167.SZ,东方锆业,17.74,9.98,0.07,首次★,有色金属
301377.SZ,鼎泰高科,659.6,9.93,0.85,首次★,其他
300321.SZ,同大股份,54.3,9.65,1.61,首次★,塑料制品
603986.SH,兆易创新,689.7,9.65,1.06,首次★,芯片
