代码,名称,收盘价,涨幅%,量比,标签,板块
688380.SH,中微半导,61.74,20.0,1.74,首次★,其他
300223.SZ,北京君正,237.36,20.0,1.12,首次★,电子器件
688025.SH,杰普特,498.29,18.94,2.31,首次★,其他
688115.SH,思林杰,66.36,18.29,2.03,首次★,其他
300806.SZ,斯迪克,117.88,17.77,1.14,首次★,其他
301418.SZ,协昌科技,54.63,16.66,2.04,首次★,其他
300227.SZ,光韵达,13.55,16.01,3.97,首次★,电子器件
300420.SZ,五洋自控,9.0,15.68,1.2,首次★,机械行业
688525.SH,佰维存储,480.3,15.18,1.12,首次★,其他
301265.SZ,华新科技,31.84,14.53,2.12,首次★,其他
688545.SH,XD兴福电,125.7,14.01,1.62,首次★,其他
301392.SZ,汇成真空,227.01,13.5,1.39,首次★,其他
300077.SZ,国民技术,29.03,12.61,1.99,首次★,电子器件
300747.SZ,锐科激光,59.18,12.02,1.3,首次★,其他
688260.SH,昀冢科技,144.0,11.79,1.17,首次★,其他
300057.SZ,万顺新材,10.08,10.89,2.14,首次★,印刷包装
300401.SZ,花园生物,22.1,10.89,0.85,首次★,食品行业
301182.SZ,凯旺科技,106.76,10.39,1.48,首次★,其他
002303.SZ,美盈森,4.25,10.1,2.29,首次★,造纸行业
000100.SZ,TCL科技,5.34,10.1,1.46,首次★,家电行业
002141.SZ,贤丰控股,5.24,10.08,1.17,首次★,电子器件
002056.SZ,横店东磁,30.2,10.02,0.81,首次★,电子器件
002965.SZ,祥鑫科技,47.16,10.01,1.87,首次★,其他
600141.SH,兴发集团,47.48,10.01,1.58,首次★,化工行业
600330.SH,天通股份,35.6,10.01,1.16,首次★,电子信息
603989.SH,艾华集团,53.75,10.01,0.44,首次★,其它行业
603713.SH,密尔克卫,75.65,10.0,2.62,首次★,其他
600522.SH,中天科技,68.1,10.0,1.04,首次★,电子信息
000636.SZ,风华高科,79.62,10.0,1.01,首次★,电子器件
603800.SH,洪田股份,84.95,10.0,0.88,首次★,其他
603267.SH,鸿远电子,83.6,10.0,0.72,首次★,电子
002080.SZ,中材科技,92.93,10.0,0.54,首次★,化纤行业
600584.SH,长电科技,104.17,10.0,0.51,首次★,电子器件
002990.SZ,盛视科技,72.6,10.0,0.5,首次★,其他
603115.SH,海星股份,131.33,10.0,0.5,首次★,其他
603678.SH,火炬电子,75.13,10.0,0.35,首次★,电子器件
603929.SH,亚翔集成,255.07,10.0,0.29,首次★,其他
600237.SH,铜峰电子,12.99,9.99,1.3,首次★,电子器件
000823.SZ,超声电子,25.87,9.99,0.45,首次★,电子器件
002254.SZ,泰和新材,20.17,9.98,1.32,首次★,化纤行业
002654.SZ,万润科技,20.72,9.98,1.23,首次★,电子器件
