代码,名称,收盘价,涨幅%,量比,标签,板块
300506.SZ,ST名家汇,5.68,20.08,2.53,首次★,其他
301310.SZ,鑫宏业,53.86,20.01,0.95,首次★,其他
301396.SZ,宏景科技,297.6,20.0,0.95,首次★,其他
301366.SZ,一博科技,62.84,19.99,1.72,首次★,其他
301132.SZ,满坤科技,54.74,19.99,0.61,首次★,其他
300567.SZ,精测电子,251.13,18.12,1.5,首次★,电子
301526.SZ,国际复材,44.98,17.59,1.07,首次★,其他
301150.SZ,中一科技,67.89,17.5,0.99,首次★,其他
688627.SH,精智达,638.0,16.21,1.07,首次★,其他
688507.SH,索辰科技,276.6,16.17,1.09,首次★,其他
688090.SH,瑞松科技,146.6,16.05,1.61,首次★,其他
300398.SZ,飞凯材料,54.7,15.64,1.31,首次★,化工行业
300671.SZ,富满微,73.25,15.48,1.54,首次★,其他
300083.SZ,创世纪,12.95,15.11,2.18,首次★,电子器件
301611.SZ,珂玛科技,150.6,14.15,1.16,首次★,其他
688172.SH,燕东微,84.26,14.03,1.16,首次★,其他
688416.SH,恒烁股份,127.75,13.17,1.12,首次★,其他
301322.SZ,绿通科技,63.75,11.84,2.13,首次★,其他
300814.SZ,中富电路,203.7,11.8,1.08,首次★,其他
301305.SZ,朗坤科技,32.9,11.68,2.94,首次★,其他
688362.SH,甬矽电子,76.98,11.6,1.1,首次★,电子
300489.SZ,光智科技,266.0,11.22,0.86,首次★,其他
688630.SH,芯碁微装,513.88,11.02,1.06,首次★,其他
300857.SZ,协创数据,340.19,10.99,0.94,首次★,其他
688323.SH,瑞华泰,65.98,10.63,0.87,首次★,其他
002876.SZ,三利谱,35.26,10.02,2.26,首次★,其他
003043.SZ,华亚智能,87.3,10.01,1.98,首次★,人工智能
002631.SZ,德尔未来,9.89,10.01,1.79,首次★,家具行业
603045.SH,福达合金,93.12,10.01,1.09,首次★,其他
603203.SH,快克智能,70.14,10.01,1.03,首次★,人工智能
002536.SZ,飞龙股份,49.49,10.0,1.64,首次★,汽车制造
002046.SZ,国机精工,69.95,10.0,1.27,首次★,机械行业
001339.SZ,智微智能,136.95,10.0,1.23,首次★,人工智能
002821.SZ,凯莱英,141.57,10.0,1.11,首次★,其他
603986.SH,兆易创新,705.09,10.0,1.11,首次★,芯片
603061.SH,金海通,387.09,10.0,1.07,首次★,其他
603324.SH,盛剑科技,45.3,10.0,1.07,首次★,其他
002409.SZ,雅克科技,173.05,10.0,0.92,首次★,化工行业
600596.SH,新安股份,17.29,9.99,1.06,首次★,农药化肥
605020.SH,永和股份,39.18,9.99,0.92,首次★,其他
600667.SH,太极实业,23.01,9.99,0.6,首次★,电子器件
601872.SH,招商轮船,21.91,9.99,0.51,首次★,交通运输
002354.SZ,天娱数科,8.92,9.99,0.48,首次★,电子信息
002643.SZ,万润股份,19.51,9.98,1.45,首次★,化工行业
002584.SZ,西陇科学,11.02,9.98,0.2,首次★,化工行业
300120.SZ,经纬辉开,9.8,9.87,1.97,首次★,发电设备
688001.SH,华兴源创,89.99,9.77,0.94,首次★,其他
688808.SH,联讯仪器,2586.03,9.58,0.96,首次★,次新股
300843.SZ,胜蓝股份,144.25,9.45,0.92,首次★,其他
