代码,名称,收盘价,涨幅%,量比,标签,板块
688596.SH,正帆科技,56.22,20.0,2.05,首次★,其他
301349.SZ,信德新材,75.6,20.0,1.85,首次★,其他
688432.SH,有研硅,30.9,20.0,1.62,首次★,其他
301051.SZ,信濠光电,20.96,19.98,4.5,首次★,电子
688584.SH,上海合晶,33.88,15.99,1.9,首次★,其他
300260.SZ,新莱应材,92.9,14.54,1.94,首次★,机械行业
300088.SZ,长信科技,11.67,13.41,1.5,首次★,电子器件
300592.SZ,华凯易佰,16.93,12.94,0.88,首次★,其他
688328.SH,深科达,88.1,11.69,1.28,首次★,其他
688028.SH,沃尔德,141.5,10.41,1.96,首次★,其他
300720.SZ,海川智能,88.88,10.41,1.57,首次★,人工智能
688535.SH,华海诚科,163.91,10.38,1.14,首次★,其他
600962.SH,国投中鲁,29.0,10.02,1.17,首次★,食品行业
002119.SZ,康强电子,37.02,10.01,1.24,首次★,电子器件
001389.SZ,广合科技,220.88,10.0,1.96,首次★,其他
601133.SH,柏诚股份,38.28,10.0,1.27,首次★,其他
600552.SH,凯盛科技,29.6,10.0,1.04,首次★,玻璃行业
002106.SZ,莱宝高科,15.62,10.0,0.81,首次★,电子器件
603155.SH,新亚强,25.34,9.98,1.05,首次★,其他
688359.SH,三孚新科,188.61,9.42,1.73,首次★,其他
300727.SZ,润禾材料,38.44,9.39,1.71,首次★,其他
688003.SH,天准科技,127.92,9.03,1.26,首次★,其他
688665.SH,四方光电,63.92,8.84,1.92,首次★,电子
300776.SZ,帝尔激光,194.5,8.54,1.5,首次★,其他
300717.SZ,华信新材,22.0,8.06,2.42,首次★,其他
688519.SH,南亚新材,410.1,7.93,1.07,首次★,其他
300666.SZ,江丰电子,354.78,7.51,1.11,首次★,电子
301188.SZ,力诺药包,71.15,7.43,1.27,首次★,医药
603661.SH,恒林股份,40.06,7.4,2.18,首次★,其他
603281.SH,江瀚新材,42.13,7.15,1.44,首次★,其他
002787.SZ,华源控股,32.47,7.02,2.49,首次★,其他
002668.SZ,TCL智家,11.0,7.0,2.5,首次★,家电行业
603010.SH,万盛股份,16.61,6.95,3.13,首次★,化工行业
002579.SZ,中京电子,22.78,6.95,1.71,首次★,电子器件
605376.SH,博迁新材,264.0,6.95,1.58,首次★,其他
601636.SH,旗滨集团,8.93,6.95,1.31,首次★,玻璃行业
002859.SZ,洁美科技,103.77,6.87,1.13,首次★,其他
000551.SZ,创元科技,18.25,6.23,2.15,首次★,机械行业
688507.SH,索辰科技,294.12,6.18,0.99,首次★,其他
002587.SZ,奥拓电子,7.33,5.92,1.94,首次★,电子器件
002937.SZ,兴瑞科技,45.42,5.82,1.27,首次★,其他
300323.SZ,华灿光电,19.36,5.68,2.09,首次★,电子器件
600459.SH,贵研铂业,28.11,5.64,1.11,首次★,有色金属
002655.SZ,共达电声,51.13,5.58,0.78,首次★,电子器件
603002.SH,XD宏昌电,26.23,5.13,1.04,首次★,化工行业
