代码,名称,收盘价,涨幅%,量比,标签,板块
300319.SZ,麦捷科技,27.76,20.02,1.09,首次★,电子器件
688485.SH,九州一轨,67.9,20.01,1.78,首次★,其他
688478.SH,晶升股份,80.44,20.01,0.57,首次★,其他
688671.SH,碧兴物联,30.78,20.0,2.6,首次★,其他
301687.SZ,新广益,82.44,20.0,2.31,首次★,次新股
688729.SH,屹唐股份,33.07,19.99,3.7,首次★,次新股
300861.SZ,美畅股份,24.32,19.98,2.27,首次★,其他
688131.SH,皓元医药,86.37,15.08,3.24,首次★,医药
688256.SH,寒武纪,1507.46,14.2,1.71,首次★,其他
688535.SH,华海诚科,152.9,14.13,1.3,首次★,其他
300671.SZ,富满微,60.47,11.06,2.18,首次★,其他
300491.SZ,通合科技,38.88,10.14,1.42,首次★,其他
301217.SZ,铜冠铜箔,200.0,10.08,0.96,首次★,有色金属
002141.SZ,贤丰控股,4.71,10.05,0.58,首次★,电子器件
300321.SZ,同大股份,49.52,10.04,2.78,首次★,塑料制品
002989.SZ,中天精装,37.37,10.01,2.24,首次★,其他
603679.SH,华体科技,21.43,10.01,1.1,首次★,其他
600259.SH,中稀有色,116.28,10.0,1.36,首次★,有色金属
003031.SZ,中瓷电子,176.29,10.0,1.05,首次★,电子
001339.SZ,智微智能,126.93,10.0,1.02,首次★,人工智能
002859.SZ,洁美科技,99.73,10.0,0.87,首次★,其他
002281.SZ,光迅科技,266.2,10.0,0.82,首次★,电子信息
002203.SZ,海亮股份,25.52,10.0,0.76,首次★,有色金属
603124.SH,江南新材,211.31,10.0,0.72,首次★,其他
000657.SZ,中钨高新,98.48,10.0,0.71,首次★,有色金属
000608.SZ,阳光股份,7.59,10.0,0.6,首次★,房地产
603001.SH,奥康国际,11.89,9.99,2.14,首次★,服装鞋类
603663.SH,三祥新材,87.49,9.99,0.73,首次★,其他
603989.SH,艾华集团,41.5,9.99,0.26,首次★,其它行业
000811.SZ,冰轮环境,40.17,9.99,0.13,首次★,机械行业
603201.SH,常润股份,19.28,9.98,2.47,首次★,其他
300951.SZ,博硕科技,49.5,9.88,2.62,首次★,其他
300811.SZ,铂科新材,107.18,9.76,1.18,首次★,其他
688448.SH,磁谷科技,59.77,9.67,3.03,首次★,其他
002636.SZ,金安国纪,104.41,9.09,0.58,首次★,电子器件
301123.SZ,奕东电子,125.0,8.82,0.92,首次★,电子
300223.SZ,北京君正,186.05,8.36,1.45,首次★,电子器件
300558.SZ,贝达药业,54.98,8.33,1.92,首次★,医药
301285.SZ,鸿日达,135.3,8.31,1.21,首次★,其他
300700.SZ,岱勒新材,24.55,8.25,1.26,首次★,其他
300373.SZ,扬杰科技,123.13,7.91,1.33,首次★,电子器件
002577.SZ,雷柏科技,19.52,7.85,3.52,首次★,电子信息
688249.SH,晶合集成,49.96,7.6,1.28,首次★,其他
300308.SZ,中际旭创,1367.88,7.19,0.99,首次★,机械行业
688146.SH,中船特气,364.0,7.15,0.7,首次★,军工
600345.SH,长江通信,64.78,7.02,1.03,首次★,电子信息
688257.SH,新锐股份,108.51,6.53,0.94,首次★,其他
300260.SZ,新莱应材,82.97,5.96,1.09,首次★,机械行业
000032.SZ,深桑达Ａ,24.6,5.94,1.46,首次★,电子信息
600246.SH,万通发展,18.65,5.91,1.27,首次★,房地产
301280.SZ,珠城科技,50.82,5.76,2.01,首次★,其他
688809.SH,强一股份,626.0,5.75,1.01,首次★,次新股
301070.SZ,开勒股份,87.16,5.71,1.13,首次★,其他
603995.SH,甬金股份,22.57,5.57,1.6,首次★,其他
688141.SH,杰华特,142.93,5.56,0.74,首次★,其他
002803.SZ,吉宏股份,23.9,5.43,1.58,首次★,其他
301045.SZ,天禄科技,64.36,5.34,0.97,首次★,其他
688662.SH,富信科技,142.91,5.08,0.61,首次★,其他
688059.SH,华锐精密,205.91,4.98,1.09,首次★,其他
000668.SZ,荣丰控股,22.26,4.8,1.66,首次★,房地产
688786.SH,悦安新材,49.35,4.8,0.95,首次★,其他
002937.SZ,兴瑞科技,42.6,4.64,0.91,首次★,其他
002980.SZ,华盛昌,131.35,4.62,0.8,首次★,其他
300689.SZ,澄天伟业,63.0,4.53,0.75,首次★,其他
300221.SZ,银禧科技,18.26,4.28,1.1,首次★,塑料制品
300502.SZ,新易盛,581.48,4.23,0.79,首次★,其他
002353.SZ,杰瑞股份,164.22,4.17,0.87,首次★,机械行业
000988.SZ,华工科技,177.55,4.13,1.14,首次★,仪器仪表
002119.SZ,康强电子,34.51,4.04,0.92,首次★,电子器件
688498.SH,源杰科技,1673.36,3.81,0.67,首次★,其他
300508.SZ,维宏股份,58.69,3.75,0.95,首次★,其他
603500.SH,祥和实业,14.1,3.68,0.85,首次★,其他
003026.SZ,中晶科技,37.86,3.67,0.99,首次★,其他
688168.SH,安博通,65.88,3.6,1.09,首次★,其他
300607.SZ,拓斯达,38.81,3.33,1.18,首次★,其他
603269.SH,海鸥股份,24.28,3.19,1.24,首次★,其他
301018.SZ,申菱环境,116.31,3.14,1.46,首次★,其他
000679.SZ,大连友谊,7.58,3.13,4.44,首次★,商业百货
301041.SZ,金百泽,37.11,2.91,1.79,首次★,其他
301200.SZ,大族数控,337.0,2.72,0.73,首次★,其他
002046.SZ,国机精工,63.69,2.71,1.3,首次★,机械行业
688012.SH,中微公司,360.0,2.56,0.9,首次★,其他
300174.SZ,元力股份,28.66,2.47,1.17,首次★,化工行业
688530.SH,欧莱新材,65.91,2.46,0.76,首次★,其他
002371.SZ,北方华创,721.04,2.39,0.88,首次★,电子器件
301528.SZ,多浦乐,94.99,2.27,1.03,首次★,其他
688600.SH,皖仪科技,30.4,2.12,1.94,首次★,其他
688120.SH,华海清科,226.86,2.05,0.93,首次★,其他
002072.SZ,凯瑞德,9.33,1.63,1.29,首次★,纺织行业
603688.SH,石英股份,80.55,1.53,0.73,首次★,其它行业
301566.SZ,达利凯普,40.28,1.05,1.07,首次★,其他
688112.SH,鼎阳科技,78.01,0.89,0.9,首次★,其他
002938.SZ,鹏鼎控股,119.91,0.76,1.2,首次★,其他
688629.SH,华丰科技,158.0,0.6,0.95,首次★,其他
300726.SZ,宏达电子,85.41,0.33,1.03,首次★,电子
688536.SH,XD思瑞浦,341.0,0.12,0.69,首次★,其他
688396.SH,华润微,73.59,-0.26,0.95,首次★,其他
000725.SZ,京东方Ａ,6.55,-1.5,1.46,首次★,电子器件
002718.SZ,友邦吊顶,109.7,-1.53,0.91,首次★,家具行业
688605.SH,先锋精科,86.93,-1.76,0.72,首次★,其他
300786.SZ,国林科技,21.2,-2.08,0.77,首次★,其他
000100.SZ,TCL科技,5.0,-2.34,1.45,首次★,家电行业
688598.SH,金博股份,59.75,20.0,1.16,持续,其他
300522.SZ,世名科技,19.21,19.99,1.72,持续,其他
300420.SZ,五洋自控,7.49,15.77,2.43,持续,机械行业
688143.SH,长盈通,218.0,15.22,1.2,持续,其他
688300.SH,联瑞新材,270.47,14.98,0.93,持续,其他
300285.SZ,国瓷材料,89.53,14.05,1.04,持续,化工行业
301630.SZ,同宇新材,402.31,13.69,0.94,持续,次新股
300553.SZ,集智股份,77.6,10.68,1.76,持续,其他
300606.SZ,金太阳,51.59,10.26,1.09,持续,其他
600226.SH,亨通股份,9.76,10.03,0.77,持续,农药化肥
002674.SZ,兴业科技,17.9,10.02,1.65,持续,服装鞋类
603324.SH,盛剑科技,43.1,10.01,1.44,持续,其他
603011.SH,合锻智能,39.55,10.01,0.71,持续,机械行业
002971.SZ,和远气体,67.38,10.01,0.7,持续,其他
603261.SH,*ST立航,44.77,10.0,2.15,持续,其他
605376.SH,博迁新材,231.31,10.0,0.64,持续,其他
600353.SH,旭光电子,42.01,10.0,0.59,持续,电子器件
002491.SZ,通鼎互联,31.58,10.0,0.3,持续,电子信息
600667.SH,太极实业,20.92,9.99,1.06,持续,电子器件
600228.SH,返利科技,8.92,9.99,1.0,持续,化工行业
603211.SH,晋拓股份,36.44,9.99,0.65,持续,其他
688433.SH,华曙高科,125.02,9.3,1.87,持续,其他
688689.SH,银河微电,46.82,9.26,2.27,持续,其他
002436.SZ,兴森科技,52.06,8.91,1.28,持续,电子器件
300433.SZ,蓝思科技,55.77,8.9,1.04,持续,电子器件
300679.SZ,电连技术,72.19,8.87,1.46,持续,其他
300031.SZ,宝通科技,30.62,8.74,1.92,持续,化工行业
300716.SZ,*ST泉为,21.53,8.52,1.29,持续,其他
688308.SH,欧科亿,188.56,8.08,0.97,持续,其他
301021.SZ,英诺激光,124.34,7.56,1.0,持续,其他
688379.SH,华光新材,96.13,7.41,1.08,持续,其他
603986.SH,兆易创新,629.0,7.33,1.36,持续,芯片
688003.SH,天准科技,124.42,7.07,1.18,持续,其他
603936.SH,博敏电子,28.65,7.06,1.23,持续,电子
688757.SH,胜科纳米,63.9,7.04,0.95,持续,其他
002138.SZ,顺络电子,71.16,6.98,0.8,持续,电子器件
301072.SZ,中捷精工,40.61,6.9,0.93,持续,其他
688368.SH,晶丰明源,219.2,6.87,0.96,持续,其他
600206.SH,有研新材,42.51,6.84,0.89,持续,电子器件
688559.SH,海目星,77.9,6.71,1.25,持续,其他
688347.SH,华虹宏力,277.81,6.56,0.99,持续,其他
600549.SH,厦门钨业,85.91,6.27,1.24,持续,有色金属
