代码,名称,收盘价,涨幅%,量比,标签,板块
688106.SH,金宏气体,49.78,20.01,0.94,首次★,其他
688571.SH,杭华股份,10.5,20.0,2.11,首次★,其他
300518.SZ,新迅达,39.66,20.0,0.94,首次★,其他
300481.SZ,濮阳惠成,22.82,19.98,2.16,首次★,其他
300720.SZ,海川智能,110.3,14.66,1.49,首次★,人工智能
300560.SZ,中富通,21.84,14.65,1.78,首次★,其他
301281.SZ,科源制药,56.29,14.18,1.6,首次★,医药
688766.SH,普冉股份,870.0,13.49,1.13,首次★,其他
688207.SH,格灵深瞳,22.59,12.39,1.72,首次★,其他
688057.SH,金达莱,17.18,11.49,2.61,首次★,其他
301617.SZ,博苑新材,65.4,11.13,1.89,首次★,其他
688549.SH,中巨芯,40.6,10.3,1.11,首次★,其他
603120.SH,肯特催化,58.69,10.01,1.29,首次★,其他
002167.SZ,东方锆业,24.28,10.01,0.84,首次★,有色金属
603379.SH,三美股份,83.48,10.0,2.16,首次★,其他
600885.SH,宏发股份,37.94,10.0,1.89,首次★,电器行业
001256.SZ,炜冈科技,30.02,10.0,0.46,首次★,其他
002747.SZ,埃斯顿,41.06,9.99,0.57,首次★,机械行业
000733.SZ,振华科技,62.3,9.99,0.34,首次★,电子器件
002559.SZ,亚威股份,13.98,9.99,0.2,首次★,机械行业
301592.SZ,六九一二,145.56,9.98,1.31,首次★,其他
300503.SZ,昊志机电,101.48,9.95,2.19,首次★,其他
300801.SZ,泰和科技,35.45,9.75,1.28,首次★,其他
600366.SH,宁波韵升,15.99,8.92,1.94,首次★,仪器仪表
002422.SZ,科伦药业,41.95,8.9,1.85,首次★,生物制药
600999.SH,招商证券,22.94,8.72,1.42,首次★,金融行业
688206.SH,概伦电子,48.2,8.63,1.37,首次★,电子
301280.SZ,珠城科技,54.89,8.54,1.79,首次★,其他
300323.SZ,华灿光电,22.14,8.53,0.99,首次★,电子器件
688020.SH,方邦股份,270.08,8.21,1.15,首次★,其他
000783.SZ,长江证券,10.54,8.1,1.03,首次★,金融行业
300005.SZ,探路者,24.43,8.1,0.89,首次★,服装鞋类
605020.SH,永和股份,43.99,8.03,1.26,首次★,其他
300868.SZ,杰美特,158.37,7.95,1.15,首次★,其他
603324.SH,盛剑科技,55.3,7.88,1.19,首次★,其他
