代码,名称,收盘价,涨幅%,量比,标签,板块
301092.SZ,争光股份,58.91,20.0,1.98,首次★,其他
688305.SH,科德数控,75.56,12.37,3.09,首次★,其他
002458.SZ,益生股份,9.41,10.06,3.14,首次★,农林牧渔
603505.SH,金石资源,24.39,10.01,3.08,首次★,其他
603137.SH,恒尚节能,15.65,9.98,0.24,首次★,其他
688103.SH,国力电子,74.85,7.51,1.31,首次★,电子
600601.SH,方正科技,14.92,6.8,1.86,首次★,电子信息
300655.SZ,晶瑞电材,21.93,5.89,1.17,首次★,其他
600458.SH,时代新材,17.44,5.12,1.4,首次★,塑料制品
688506.SH,百利天恒,335.5,4.88,1.55,首次★,其他
603669.SH,灵康药业,6.06,4.3,0.94,首次★,其它行业
301603.SZ,乔锋智能,144.73,4.23,1.45,首次★,人工智能
600350.SH,山东高速,11.82,4.23,1.41,首次★,公路桥梁
688371.SH,XD菲沃泰,41.29,4.01,1.31,首次★,其他
002211.SZ,ST宏达,4.2,3.7,1.63,首次★,化工行业
300907.SZ,康平科技,58.8,3.69,1.16,首次★,其他
002025.SZ,航天电器,83.1,3.62,1.01,首次★,电子器件
300661.SZ,圣邦股份,142.0,3.49,1.52,首次★,其他
300568.SZ,星源材质,20.34,3.46,1.45,首次★,其他
688257.SH,新锐股份,108.49,3.42,1.56,首次★,其他
300562.SZ,乐心医疗,14.89,3.4,1.48,首次★,医药
300938.SZ,信测标准,54.3,3.29,1.15,首次★,其他
300964.SZ,本川智能,83.0,3.25,1.34,首次★,人工智能
301307.SZ,美利信,79.28,3.03,1.25,首次★,其他
688345.SH,博力威,62.09,2.8,1.65,首次★,其他
688221.SH,前沿生物,27.33,2.78,1.43,首次★,医药
301237.SZ,和顺科技,80.37,2.64,1.15,首次★,其他
300717.SZ,华信新材,22.6,2.22,0.69,首次★,其他
600177.SH,雅戈尔,7.83,1.95,1.55,首次★,服装鞋类
300041.SZ,回天新材,15.68,1.88,1.37,首次★,化工行业
688362.SH,甬矽电子,92.99,1.84,1.17,首次★,电子
603757.SH,大元泵业,74.07,1.77,0.78,首次★,其他
688059.SH,华锐精密,217.77,1.29,1.57,首次★,其他
688112.SH,鼎阳科技,80.3,1.04,1.43,首次★,其他
603006.SH,联明股份,14.61,1.04,1.21,首次★,汽车制造
603978.SH,深圳新星,33.51,0.9,0.82,首次★,其他
002935.SZ,天奥电子,23.02,0.0,1.32,首次★,电子
300727.SZ,润禾材料,38.68,-0.26,0.99,首次★,其他
002056.SZ,横店东磁,30.66,-0.33,1.08,首次★,电子器件
600520.SH,三佳科技,36.68,-0.33,0.78,首次★,机械行业
