代码,名称,收盘价,涨幅%,量比,标签,板块
301379.SZ,天山电子,32.16,20.0,1.77,首次★,电子
301051.SZ,信濠光电,22.77,17.07,1.0,首次★,电子
300503.SZ,昊志机电,111.0,16.99,1.58,首次★,其他
300163.SZ,先锋新材,7.5,15.92,5.26,首次★,建筑建材
300607.SZ,拓斯达,52.96,13.55,1.92,首次★,其他
688322.SH,奥比中光,147.33,13.32,1.67,首次★,其他
301520.SZ,万邦医药,35.55,13.22,1.67,首次★,医药
301232.SZ,飞沃科技,182.0,11.69,1.55,首次★,其他
688661.SH,和林微纳,174.37,11.41,1.26,首次★,其他
301165.SZ,锐捷网络,94.89,11.31,2.0,首次★,其他
300878.SZ,维康药业,39.45,10.66,1.72,首次★,医药
603580.SH,*ST艾艾,30.13,10.0,3.5,首次★,其他
002850.SZ,科达利,226.16,10.0,1.16,首次★,其他
603713.SH,密尔克卫,79.23,10.0,0.5,首次★,其他
002979.SZ,雷赛智能,69.55,10.0,0.41,首次★,人工智能
002472.SZ,双环传动,47.01,9.99,1.67,首次★,机械行业
002520.SZ,日发精机,7.72,9.97,1.01,首次★,机械行业
603725.SH,天安新材,13.9,9.54,2.35,首次★,其他
688400.SH,凌云光,71.41,9.02,1.53,首次★,其他
300966.SZ,共同药业,31.07,8.03,1.78,首次★,医药
688231.SH,隆达股份,40.7,7.93,1.64,首次★,其他
603638.SH,艾迪精密,27.9,7.85,4.12,首次★,其他
002860.SZ,星帅尔,15.96,7.84,1.87,首次★,其他
300151.SZ,昌红科技,26.72,7.18,1.47,首次★,机械行业
301067.SZ,显盈科技,37.97,6.93,1.91,首次★,其他
301210.SZ,金杨精密,32.67,6.76,2.02,首次★,其他
688669.SH,聚石化学,112.2,6.57,0.84,首次★,化工
600360.SH,华微电子,14.96,6.1,1.54,首次★,电子器件
688646.SH,ST逸飞,78.18,5.93,3.09,首次★,其他
688685.SH,迈信林,57.45,5.78,1.65,首次★,其他
300460.SZ,ST惠伦,10.95,5.39,1.22,首次★,其他
300093.SZ,金刚光伏,25.34,5.32,0.96,首次★,玻璃行业
603588.SH,高能环境,19.8,5.04,1.25,首次★,环保行业
600885.SH,宏发股份,38.09,4.87,1.57,首次★,电器行业
300932.SZ,三友联众,11.97,4.72,1.84,首次★,其他
688320.SH,禾川科技,42.95,3.97,1.68,首次★,其他
002937.SZ,兴瑞科技,45.67,3.56,0.96,首次★,其他
300780.SZ,德恩精工,35.27,2.59,1.3,首次★,其他
600400.SH,红豆股份,3.46,2.06,0.83,首次★,服装鞋类
300985.SZ,致远新能,49.67,20.0,1.41,持续,其他
688017.SH,绿的谐波,488.0,18.15,1.55,持续,其他
301603.SZ,乔锋智能,159.99,10.54,2.04,持续,人工智能
301588.SZ,美新科技,53.9,10.27,1.45,持续,其他
603137.SH,恒尚节能,17.22,10.03,0.46,持续,其他
002747.SZ,埃斯顿,44.77,10.0,1.34,持续,机械行业
300558.SZ,贝达药业,72.9,8.48,1.09,持续,医药
603662.SH,柯力传感,80.0,8.37,2.11,持续,其他
002422.SZ,科伦药业,47.98,7.22,1.39,持续,生物制药
002056.SZ,横店东磁,32.82,7.05,1.38,持续,电子器件
605178.SH,时空科技,120.06,6.93,1.06,持续,其他
688112.SH,鼎阳科技,84.91,5.74,1.29,持续,其他
603223.SH,恒通股份,14.15,5.13,1.3,持续,其他
688266.SH,泽璟制药,143.0,4.91,1.29,持续,医药
300420.SZ,五洋自控,9.88,4.0,0.91,持续,机械行业
688219.SH,会通股份,13.38,3.96,1.18,持续,其他
002317.SZ,众生药业,27.44,3.59,1.17,持续,生物制药
001331.SZ,胜通能源,63.49,3.07,1.1,持续,电力
688117.SH,圣诺生物,30.08,3.01,1.14,持续,医药
688105.SH,诺唯赞,18.56,2.83,0.94,持续,其他
688168.SH,安博通,73.8,2.53,0.66,持续,其他
605208.SH,永茂泰,16.87,2.43,1.56,持续,其他
301307.SZ,美利信,81.19,2.41,0.96,持续,其他
000970.SZ,中科三环,16.48,2.36,1.4,持续,电子信息
300671.SZ,富满微,94.35,2.29,0.99,持续,其他
301328.SZ,维峰电子,82.31,2.05,0.78,持续,电子
300083.SZ,创世纪,13.66,1.41,1.14,持续,电子器件
600601.SH,方正科技,15.12,1.34,1.5,持续,电子信息
300562.SZ,乐心医疗,15.09,1.34,1.05,持续,医药
688072.SH,拓荆科技,832.0,1.09,0.93,持续,其他
300907.SZ,康平科技,59.38,0.99,1.2,持续,其他
002025.SZ,航天电器,83.7,0.72,0.94,持续,电子器件
301365.SZ,矩阵股份,40.02,0.23,1.23,持续,其他
002211.SZ,ST宏达,4.2,0.0,1.33,持续,化工行业
603257.SH,中国瑞林,84.0,-0.24,0.94,持续,其他
301607.SZ,富特科技,52.0,-0.42,0.85,持续,其他
600322.SH,津投城开,3.07,-0.65,1.99,持续,房地产
603078.SH,江化微,56.26,-1.12,1.25,持续,其他
600641.SH,先导基电,47.51,-1.51,1.94,持续,房地产
603270.SH,金帝股份,34.3,-1.66,1.29,持续,其他
688103.SH,国力电子,73.01,-2.16,0.84,持续,电子
603823.SH,百合花,59.88,-2.19,1.27,持续,其他
300717.SZ,华信新材,21.98,-2.74,0.7,持续,其他
