date,pool_size,excluded,above_ma20,breadth_pct,change_5d,regime
2026-08-07,1800,0,1368,76.0,,强市（多数股票在趋势中）

2026-08-10,1800,0,1465,81.4,5.4,强市（多数股票在趋势中）
