行业名称,行业代码,latest_date,RPS5_chg,RPS20_chg,RPS50_chg,RPS120_chg,RPS5,RPS20,RPS50,RPS120,RPS综合
有色金属,801050.SI,2026-08-10 00:00:00,13.647511636233457,18.112918187206482,1.6208682209896574,-5.763992488848302,96.8,100.0,93.5,71.0,92.3
煤炭,801950.SI,2026-08-10 00:00:00,5.970987335436062,10.638910849960471,0.2221318589280541,11.97241594423517,74.2,93.5,80.6,93.5,89.7
石油石化,801960.SI,2026-08-10 00:00:00,2.2889979190927834,11.899152924665435,1.0920507460208562,-8.952185453420835,38.7,96.8,87.1,58.1,86.1
医药生物,801150.SI,2026-08-10 00:00:00,8.324893821216662,8.523847783215244,8.940219456172072,-2.1338717712884203,87.1,74.2,100.0,77.4,82.6
食品饮料,801120.SI,2026-08-10 00:00:00,-0.4325085910652948,9.655495540228776,-1.8665385954525715,-14.45349291072252,19.4,77.4,71.0,35.5,67.1
基础化工,801030.SI,2026-08-10 00:00:00,8.05073877082858,6.760582238289259,-1.7337071579790697,-7.472465990447286,83.9,64.5,74.2,61.3,66.8
农林牧渔,801010.SI,2026-08-10 00:00:00,2.695000411827686,6.810471850049682,0.5305424756498756,-14.588207086708582,41.9,67.7,83.9,32.3,65.5
美容护理,801980.SI,2026-08-10 00:00:00,0.7771969843634707,10.538382943102631,-2.698434198407107,-21.17943698814112,29.0,90.3,61.3,9.7,65.5
交通运输,801170.SI,2026-08-10 00:00:00,-1.289225756180501,6.392454674091197,-2.665890570430729,-9.703742742604371,9.7,61.3,64.5,54.8,61.0
社会服务,801210.SI,2026-08-10 00:00:00,3.8714107961902444,9.84621325194739,-6.260471718439097,-20.34511984853755,54.8,87.1,48.4,12.9,60.6
银行,801780.SI,2026-08-10 00:00:00,-3.7152922127650423,2.4481285940074704,1.2604988302673092,-0.27672582237173726,3.2,29.0,90.3,83.9,58.4
传媒,801760.SI,2026-08-10 00:00:00,3.288665307833538,9.711793879650532,-3.3099677934450233,-23.61669374839648,48.4,80.6,54.8,6.5,58.1
纺织服饰,801130.SI,2026-08-10 00:00:00,4.566326359608275,6.234123551965798,-2.0686061549665236,-14.113222922080782,67.7,58.1,67.7,38.7,57.1
家用电器,801110.SI,2026-08-10 00:00:00,0.2618389344814842,3.416995944063239,-1.712166265974957,-5.863735321996333,22.6,35.5,77.4,67.7,54.5
商贸零售,801200.SI,2026-08-10 00:00:00,0.7300474778427546,9.820480677530984,-7.138944677743286,-24.558403619297977,25.8,83.9,38.7,3.2,54.2
钢铁,801040.SI,2026-08-10 00:00:00,-0.9683211775920464,8.11068517550484,-6.113364578298064,-18.871337403792722,16.1,71.0,51.6,16.1,54.2
环保,801970.SI,2026-08-10 00:00:00,4.14854502083879,5.090705450942612,-7.097465191003205,-6.01523673768154,58.1,51.6,41.9,64.5,51.3
非银金融,801790.SI,2026-08-10 00:00:00,-1.6031393883989775,1.7646617971763146,3.2630569075252636,-13.082740826817407,6.5,25.8,96.8,45.2,51.0
计算机,801750.SI,2026-08-10 00:00:00,4.161099489394249,3.944125450619307,-2.881249646083217,-14.09838072677153,61.3,38.7,58.1,41.9,45.2
公用事业,801160.SI,2026-08-10 00:00:00,-1.0388914287515982,4.110588684064309,-12.37790813317654,0.39623358189559976,12.9,48.4,9.7,87.1,44.5
电子,801080.SI,2026-08-10 00:00:00,16.947645720241212,-12.55100881933675,-6.55869759208948,30.125872292070312,100.0,6.5,45.2,100.0,36.8
轻工制造,801140.SI,2026-08-10 00:00:00,4.392499230257352,5.74100343061803,-9.092835489130191,-18.616553812084526,64.5,54.8,16.1,19.4,36.1
电力设备,801730.SI,2026-08-10 00:00:00,3.8140754708802183,4.0896580125763915,-16.56266767007406,-10.700129391190206,51.6,45.2,6.5,51.6,34.8
建筑材料,801710.SI,2026-08-10 00:00:00,12.820176541091532,-2.0572877957449998,-8.900691434362262,1.2214374197175415,93.5,16.1,19.4,90.3,31.9
建筑装饰,801720.SI,2026-08-10 00:00:00,1.7990483257486423,1.4689148650046446,-7.40723260050784,-11.662861748641262,32.3,22.6,35.5,48.4,31.6
房地产,801180.SI,2026-08-10 00:00:00,2.894873796513142,3.339685305166862,-8.2717958631355,-17.183061718698866,45.2,32.3,29.0,29.0,30.6
汽车,801880.SI,2026-08-10 00:00:00,2.040923205835954,3.9625495907196218,-11.0965279567122,-17.429244136552246,35.5,41.9,12.9,25.8,30.0
机械设备,801890.SI,2026-08-10 00:00:00,9.72271552919539,-2.9212477076858256,-8.808508057178665,-1.7479653543855944,90.3,12.9,22.6,80.6,29.4
综合,801230.SI,2026-08-10 00:00:00,6.975892600093947,-4.521685427194566,-7.790548335836645,-3.708005901166822,80.6,9.7,32.3,74.2,29.4
通信,801770.SI,2026-08-10 00:00:00,5.6861221417951135,-14.669288284972538,-19.45863083962347,26.35868173671312,71.0,3.2,3.2,96.8,21.9
国防军工,801740.SI,2026-08-10 00:00:00,6.594186068408803,-1.3145507165521875,-8.455662355725435,-17.80081902936308,77.4,19.4,25.8,22.6,21.9
