代码,名称,收盘价,涨幅%,量比,标签,板块
301373.SZ,凌玮科技,158.98,20.0,1.86,首次★,其他
688090.SH,瑞松科技,123.13,20.0,1.85,首次★,其他
688757.SH,胜科纳米,50.76,20.0,1.69,首次★,其他
688167.SH,炬光科技,398.26,20.0,1.53,首次★,其他
301362.SZ,民爆光电,225.26,20.0,1.42,首次★,电子
301196.SZ,唯科科技,191.78,20.0,1.28,首次★,其他
300489.SZ,光智科技,195.43,20.0,1.02,首次★,其他
300005.SZ,探路者,17.54,19.97,4.66,首次★,服装鞋类
688432.SH,有研硅,25.12,19.62,1.44,首次★,其他
301276.SZ,嘉曼服饰,31.2,19.4,4.63,首次★,其他
300408.SZ,三环集团,150.25,18.77,1.2,首次★,电子器件
688379.SH,华光新材,92.17,17.97,1.14,首次★,其他
301021.SZ,英诺激光,103.9,17.45,1.21,首次★,其他
300870.SZ,欧陆通,321.22,17.29,1.5,首次★,其他
688766.SH,普冉股份,457.0,17.0,1.41,首次★,其他
300863.SZ,卡倍亿,73.41,16.52,1.55,首次★,其他
301536.SZ,星宸科技,106.0,16.5,2.6,首次★,其他
688332.SH,中科蓝讯,116.8,15.19,1.39,首次★,其他
301630.SZ,同宇新材,320.66,14.93,1.16,首次★,次新股
688045.SH,必易微,77.4,14.48,1.57,首次★,其他
300508.SZ,维宏股份,53.7,13.82,1.05,首次★,其他
301218.SZ,华是科技,43.06,12.96,1.68,首次★,其他
688711.SH,宏微科技,39.28,12.91,1.09,首次★,其他
300852.SZ,四会富仕,58.97,12.86,1.81,首次★,其他
301188.SZ,力诺药包,58.88,12.24,0.79,首次★,医药
300936.SZ,中英科技,122.4,11.87,1.47,首次★,其他
688359.SH,三孚新科,155.88,11.79,1.28,首次★,其他
301029.SZ,怡合达,32.19,11.38,1.73,首次★,其他
688141.SH,杰华特,129.9,10.73,0.77,首次★,其他
300814.SZ,中富电路,185.05,10.6,1.06,首次★,其他
688625.SH,呈和科技,87.13,10.29,1.72,首次★,其他
688368.SH,晶丰明源,201.02,10.13,1.03,首次★,其他
603335.SH,迪生力,8.86,10.06,0.07,首次★,其他
002815.SZ,崇达技术,18.87,10.03,0.69,首次★,其他
002824.SZ,和胜股份,31.74,10.02,0.53,首次★,其他
001359.SZ,平安电工,117.85,10.0,1.8,首次★,金融
605198.SH,安德利,71.28,10.0,1.55,首次★,其他
600226.SH,亨通股份,8.25,10.0,0.97,首次★,农药化肥
002913.SZ,奥士康,61.58,10.0,0.91,首次★,其他
601958.SH,金钼股份,28.07,9.99,4.5,首次★,有色金属
001257.SZ,盛龙股份,30.51,9.99,2.48,首次★,次新股
002741.SZ,光华科技,32.59,9.99,0.68,首次★,化工行业
002972.SZ,科安达,14.54,9.98,1.39,首次★,其他
603002.SH,XD宏昌电,19.17,9.98,0.48,首次★,化工行业
002515.SZ,金字火腿,8.28,9.96,1.39,首次★,食品行业
600160.SH,巨化股份,46.59,9.91,1.32,首次★,化工行业
300031.SZ,宝通科技,27.31,9.59,1.22,首次★,化工行业
