代码,名称,收盘价,涨幅%,量比,标签,板块
300522.SZ,世名科技,16.01,20.01,2.29,首次★,其他
301366.SZ,一博科技,58.2,20.0,2.0,首次★,其他
300475.SZ,香农芯创,245.29,20.0,1.39,首次★,其他
300903.SZ,科翔股份,98.16,20.0,1.29,首次★,其他
688082.SH,盛美上海,361.2,20.0,1.08,首次★,其他
300283.SZ,温州宏丰,22.15,19.99,1.15,首次★,电器行业
688479.SH,友车科技,38.3,17.99,2.77,首次★,其他
688200.SH,华峰测控,363.82,14.77,1.45,首次★,其他
688661.SH,和林微纳,152.15,14.51,1.17,首次★,其他
301682.SZ,宏明电子,197.26,14.35,1.79,首次★,次新股
688378.SH,奥来德,55.33,13.89,1.56,首次★,其他
688720.SH,艾森股份,84.0,13.21,1.65,首次★,其他
301303.SZ,真兰仪表,18.3,12.75,2.09,首次★,其他
301072.SZ,中捷精工,37.99,12.0,1.06,首次★,其他
300727.SZ,润禾材料,38.13,11.98,4.4,首次★,其他
301150.SZ,中一科技,61.01,11.92,2.19,首次★,其他
300790.SZ,宇瞳光学,29.08,11.2,2.29,首次★,电子
688416.SH,恒烁股份,138.72,10.7,1.84,首次★,其他
688138.SH,清溢光电,40.93,10.29,1.23,首次★,电子
603488.SH,展鹏科技,13.18,10.02,2.4,首次★,其他
603261.SH,*ST立航,40.7,10.0,2.72,首次★,其他
001326.SZ,联域股份,74.03,10.0,2.58,首次★,其他
000672.SZ,上峰材料,19.03,10.0,2.08,首次★,水泥行业
603986.SH,兆易创新,586.04,10.0,1.47,首次★,芯片
002080.SZ,中材科技,82.41,10.0,1.46,首次★,化纤行业
600378.SH,XD昊华科,63.8,10.0,1.21,首次★,化工行业
002491.SZ,通鼎互联,28.71,10.0,1.04,首次★,电子信息
002916.SZ,深南电路,444.27,10.0,0.98,首次★,其他
603139.SH,康惠股份,44.13,10.0,0.75,首次★,其他
603773.SH,沃格光电,166.13,10.0,0.32,首次★,电子
603324.SH,盛剑科技,39.18,9.99,1.26,首次★,其他
002484.SZ,江海股份,104.93,9.99,1.19,首次★,电子器件
603020.SH,爱普股份,13.89,9.98,1.36,首次★,食品行业
600186.SH,莲花控股,14.66,9.98,0.65,首次★,食品行业
600552.SH,凯盛科技,24.13,9.98,0.56,首次★,玻璃行业
002106.SZ,莱宝高科,14.78,9.97,0.93,首次★,电子器件
300604.SZ,长川科技,264.01,9.82,1.04,首次★,其他
688233.SH,神工股份,121.71,9.71,1.02,首次★,其他
603271.SH,永杰新材,54.4,9.43,5.04,首次★,其他
688347.SH,华虹宏力,260.7,9.31,1.08,首次★,其他
688525.SH,佰维存储,370.0,8.67,1.27,首次★,其他
301013.SZ,利和兴,65.32,8.49,1.07,首次★,其他
300998.SZ,宁波方正,31.69,8.34,1.68,首次★,其他
300054.SZ,鼎龙股份,91.13,7.97,1.13,首次★,化工行业
688010.SH,福光股份,47.88,7.81,1.11,首次★,其他
688163.SH,赛伦生物,47.68,7.61,2.04,首次★,医药
002700.SZ,万憬能源,9.53,7.56,2.27,首次★,供水供气
300397.SZ,天和防务,16.09,7.55,2.4,首次★,电子信息
002745.SZ,木林森,11.43,7.53,1.75,首次★,电子器件
301369.SZ,联动科技,208.78,7.44,1.86,首次★,其他
605566.SH,福莱蒽特,51.44,7.39,1.05,首次★,其他
002409.SZ,雅克科技,147.92,7.38,0.8,首次★,化工行业
688207.SH,格灵深瞳,21.73,7.36,1.0,首次★,其他
605111.SH,新洁能,71.15,7.27,0.98,首次★,其他
600105.SH,永鼎股份,63.09,7.19,1.43,首次★,电子信息
688035.SH,德邦科技,97.33,7.04,0.97,首次★,其他
688808.SH,联讯仪器,2316.0,6.68,0.92,首次★,次新股
600460.SH,士兰微,40.83,6.66,2.11,首次★,电子器件
300802.SZ,矩子科技,27.03,6.42,1.53,首次★,其他
301328.SZ,维峰电子,63.22,6.36,2.26,首次★,电子
300716.SZ,*ST泉为,19.84,6.32,0.88,首次★,其他
688003.SH,天准科技,116.2,6.25,1.14,首次★,其他
603650.SH,彤程新材,67.82,5.99,0.79,首次★,其他
688409.SH,富创精密,200.8,5.94,0.95,首次★,其他
603203.SH,快克智能,62.4,5.87,1.02,首次★,人工智能
603519.SH,立霸股份,14.88,5.83,1.09,首次★,家电行业
688308.SH,欧科亿,174.47,5.77,1.02,首次★,其他
600667.SH,太极实业,19.02,5.73,0.97,首次★,电子器件
300305.SZ,裕兴股份,8.16,5.7,1.43,首次★,塑料制品
603823.SH,百合花,46.88,5.7,1.01,首次★,其他
300304.SZ,云意电气,17.86,5.68,1.1,首次★,汽车制造
001389.SZ,广合科技,205.8,5.57,1.47,首次★,其他
603936.SH,博敏电子,26.76,5.48,1.18,首次★,电子
688721.SH,龙图光罩,54.28,5.46,1.23,首次★,其他
688511.SH,天微电子,29.3,5.32,1.55,首次★,电子
603328.SH,依顿电子,15.12,5.07,1.11,首次★,电子器件
605020.SH,永和股份,37.1,5.04,1.2,首次★,其他
603211.SH,晋拓股份,33.13,4.74,0.88,首次★,其他
688733.SH,壹石通,42.67,4.71,1.09,首次★,其他
002171.SZ,楚江新材,15.0,4.6,1.63,首次★,有色金属
300613.SZ,富瀚微,68.42,4.31,1.45,首次★,其他
300398.SZ,飞凯材料,46.93,3.92,0.97,首次★,化工行业
301312.SZ,智立方,111.0,3.82,1.39,首次★,其他
300263.SZ,隆华科技,16.63,3.42,0.92,首次★,机械行业
688719.SH,爱科赛博,92.16,3.36,1.23,首次★,其他
600487.SH,亨通光电,111.0,3.26,0.99,首次★,电子信息
002955.SZ,鸿合科技,33.84,3.2,0.84,首次★,其他
600549.SH,厦门钨业,80.84,3.1,1.51,首次★,有色金属
688061.SH,灿瑞科技,48.51,3.08,0.91,首次★,其他
600063.SH,皖维高新,8.48,2.79,1.05,首次★,化纤行业
301228.SZ,实朴检测,84.24,2.73,0.72,首次★,其他
688419.SH,耐科装备,67.6,2.72,0.88,首次★,机械
688665.SH,四方光电,59.56,2.55,1.27,首次★,电子
300420.SZ,五洋自控,6.47,2.21,1.29,首次★,机械行业
605058.SH,澳弘电子,41.5,1.99,1.38,首次★,电子
600601.SH,方正科技,14.35,1.77,1.4,首次★,电子信息
002645.SZ,华宏科技,34.22,1.75,1.43,首次★,机械行业
002674.SZ,兴业科技,16.27,1.62,1.52,首次★,服装鞋类
300243.SZ,瑞丰高材,20.85,1.56,1.52,首次★,化工行业
300602.SZ,飞荣达,49.15,1.55,1.07,首次★,其他
002668.SZ,TCL智家,10.06,1.41,0.71,首次★,家电行业
688559.SH,海目星,73.0,1.35,1.19,首次★,其他
301092.SZ,争光股份,51.3,1.34,1.48,首次★,其他
002993.SZ,奥海科技,72.6,1.18,1.09,首次★,其他
301029.SZ,怡合达,32.43,1.06,0.9,首次★,其他
600367.SH,红星发展,57.1,1.01,1.09,首次★,化工行业
688379.SH,华光新材,89.5,0.97,1.07,首次★,其他
600999.SH,招商证券,19.1,0.9,0.84,首次★,金融行业
300964.SZ,本川智能,113.92,0.76,1.57,首次★,人工智能
300852.SZ,四会富仕,60.02,0.74,1.16,首次★,其他
603886.SH,元祖股份,13.59,0.74,0.93,首次★,其他
603078.SH,江化微,47.28,0.64,0.89,首次★,其他
002806.SZ,华锋股份,20.78,0.39,1.44,首次★,其他
300553.SZ,集智股份,70.11,0.3,1.3,首次★,其他
301178.SZ,天亿马,43.87,0.11,2.16,首次★,其他
300554.SZ,三超新材,30.48,-0.88,1.29,首次★,其他
301349.SZ,信德新材,63.96,-1.66,2.01,首次★,其他
688598.SH,金博股份,49.79,20.0,1.62,持续,其他
688766.SH,普冉股份,580.2,20.0,1.28,持续,其他
688260.SH,昀冢科技,123.61,20.0,0.96,持续,其他
688323.SH,瑞华泰,60.3,20.0,0.9,持续,其他
300088.SZ,长信科技,10.57,19.98,1.47,持续,电子器件
300285.SZ,国瓷材料,78.5,16.42,1.25,持续,化工行业
688143.SH,长盈通,218.0,15.22,1.2,持续,其他
301373.SZ,凌玮科技,195.17,14.13,1.15,持续,其他
300196.SZ,长海股份,31.9,13.73,1.4,持续,玻璃行业
688549.SH,中巨芯,33.96,13.62,0.74,持续,其他
301188.SZ,力诺药包,71.65,13.44,1.21,持续,医药
301319.SZ,唯特偶,164.5,11.63,0.97,持续,其他
688519.SH,南亚新材,395.01,10.82,1.03,持续,其他
601636.SH,旗滨集团,8.67,10.03,0.42,持续,玻璃行业
600110.SH,诺德股份,17.22,10.03,0.11,持续,电力行业
002741.SZ,光华科技,39.44,10.01,0.51,持续,化工行业
603186.SH,华正新材,226.67,10.0,1.07,持续,其他
603002.SH,XD宏昌电,23.2,10.0,0.68,持续,化工行业
000823.SZ,超声电子,22.11,10.0,0.65,持续,电子器件
600228.SH,返利科技,8.92,9.99,1.0,持续,化工行业
603283.SH,赛腾股份,63.06,9.99,0.93,持续,其他
600176.SH,中国巨石,54.6,9.99,0.65,持续,玻璃行业
603618.SH,杭电股份,51.73,9.99,0.46,持续,发电设备
600353.SH,旭光电子,38.19,9.99,0.45,持续,电子器件
605198.SH,安德利,86.1,9.81,3.34,持续,其他
688669.SH,聚石化学,62.46,9.73,1.02,持续,化工
002851.SZ,麦格米特,178.9,9.33,1.95,持续,其他
688689.SH,银河微电,46.82,9.26,2.27,持续,其他
688627.SH,精智达,542.28,8.94,1.17,持续,其他
688551.SH,科威尔,77.2,8.82,1.18,持续,其他
300821.SZ,东岳硅材,20.45,8.55,1.42,持续,其他
