代码,名称,收盘价,涨幅%,量比,标签,板块
688082.SH,盛美上海,399.81,6.29,0.9,持续,其他
688646.SH,ST逸飞,77.0,6.13,2.24,持续,其他
688729.SH,屹唐股份,38.18,5.62,1.11,持续,次新股
600353.SH,旭光电子,48.8,5.6,8.04,持续,电子器件
000962.SZ,东方钽业,72.8,5.2,2.19,持续,有色金属
002297.SZ,博云新材,32.82,5.19,1.9,持续,其它行业
601066.SH,中信建投,28.81,5.18,2.91,持续,金融
001359.SZ,平安电工,117.3,5.15,1.5,持续,金融
603663.SH,三祥新材,101.07,5.02,2.07,持续,其他
600460.SH,士兰微,47.04,5.0,1.16,持续,电子器件
603595.SH,ST东尼,31.94,5.0,0.07,持续,其他
300401.SZ,花园生物,20.85,4.93,1.23,持续,食品行业
688249.SH,晶合集成,55.38,4.89,1.23,持续,其他
688766.SH,普冉股份,703.0,4.88,0.99,持续,其他
603201.SH,常润股份,21.35,4.71,1.61,持续,其他
688469.SH,芯联集成,9.41,4.44,1.36,持续,其他
603065.SH,宿迁联盛,17.9,4.19,0.97,持续,其他
688200.SH,华峰测控,424.15,3.98,0.8,持续,其他
300373.SZ,扬杰科技,132.96,3.79,1.15,持续,电子器件
688143.SH,长盈通,226.0,3.67,1.33,持续,其他
603125.SH,常青科技,30.8,3.63,1.28,持续,其他
600522.SH,中天科技,61.73,3.52,1.06,持续,电子信息
600206.SH,有研新材,48.35,3.4,1.33,持续,电子器件
688396.SH,华润微,80.8,3.32,1.35,持续,其他
688511.SH,天微电子,32.6,3.16,0.85,持续,电子
301591.SZ,肯特股份,58.01,2.93,0.99,持续,其他
688052.SH,纳芯微,300.0,2.85,1.26,持续,其他
002803.SZ,吉宏股份,23.93,2.84,1.06,持续,其他
600703.SH,三安光电,19.83,2.8,1.53,持续,电子器件
688361.SH,中科飞测,275.9,2.73,0.78,持续,其他
300304.SZ,云意电气,19.1,2.58,1.1,持续,汽车制造
603738.SH,泰晶科技,63.25,2.51,0.79,持续,其他
688332.SH,中科蓝讯,139.0,2.48,0.84,持续,其他
600345.SH,长江通信,73.0,2.44,1.17,持续,电子信息
688600.SH,皖仪科技,31.9,2.44,1.05,持续,其他
600999.SH,招商证券,20.1,2.29,1.64,持续,金融行业
301200.SZ,大族数控,346.44,2.21,1.14,持续,其他
603995.SH,甬金股份,24.73,1.98,1.03,持续,其他
688662.SH,富信科技,174.55,1.78,0.94,持续,其他
