Date,Close,High,Low,Open,Volume
2011-11-02,3.5137407779693604,3.5410654940628015,3.137268614299407,3.137268614299407,273249728
2011-11-03,3.5188002586364746,3.585594344907702,3.408490769904569,3.491476638926134,165777954
2011-11-04,3.531956911087036,3.6280991658463417,3.454031643452226,3.5117162520693626,121422043
2011-11-07,3.309312105178833,3.474272109888314,3.2698427347247234,3.474272109888314,93118192
2011-11-08,3.3204445838928223,3.3892621290521157,3.275915481075079,3.275915481075079,57333860
2011-11-09,3.3619372844696045,3.3882502734226128,3.2900836867544867,3.325505060132319,52022086
2011-11-10,3.319432258605957,3.428730010535608,3.2769266166001305,3.3143716566123183,60052956
2011-11-11,3.2273383140563965,3.3376486781968384,3.1807855432722034,3.3204442934120975,59119447
2011-11-14,3.359912872314453,3.4277186866330474,3.253651162652492,3.253651162652492,65386521
2011-11-15,3.408491373062134,3.414562827518876,3.3083011015005193,3.3396738216417803,50754737
2011-11-16,3.434802532196045,3.582558153310471,3.427718477023424,3.427718477023424,92211255
2011-11-17,3.5845813751220703,3.700964275340075,3.526896773225371,3.5582692657029846,97848133
2011-11-18,3.6119065284729004,3.6736397946003048,3.5015959430906602,3.521836602227006,79419136
2011-11-21,3.5329697132110596,3.6210153153401694,3.46111589497448,3.5724382125131946,49015244
2011-11-22,3.6888208389282227,3.7120966769083474,3.503620389222257,3.532969431678453,75781999
2011-11-23,3.588630437850952,3.6969166870440606,3.588630437850952,3.6594714264922326,47628081
2011-11-24,3.5926783084869385,3.6614958417769885,3.5086807202452635,3.5279085563641077,44665719
2011-11-25,3.7070369720458984,3.811275451002797,3.6088712601723656,3.6098832056082015,66760267
2011-11-28,3.596726417541504,3.7040007273168536,3.5673782502545985,3.6432789697193195,44331462
2011-11-29,3.568389654159546,3.6331594063317234,3.496535847152061,3.623039077831411,45125652
2011-11-30,3.4095022678375244,3.6027984882081987,3.306275965893327,3.568389720893466,52938676
2011-12-01,3.3730690479278564,3.562317492366244,3.3427091554748958,3.5026085583319917,47374111
2011-12-02,3.3295531272888184,3.359913022985171,3.2394831967110567,3.321456250342611,28316442
2011-12-05,3.1696527004241943,3.3093123300409584,3.1696527004241943,3.2779398335156444,21223073
2011-12-06,3.2081100940704346,3.221265602205837,3.1129795721216595,3.147388339939237,26131315
2011-12-07,3.3336005210876465,3.338660247738859,3.2384699987672003,3.268830985398241,37731736
2011-12-08,3.3801534175872803,3.399382130738673,3.2172179552085773,3.288059822241009,33759207
2011-12-09,3.358901023864746,3.404441848735282,3.3052641982796627,3.320444254342853,22501825
2011-12-12,3.3690218925476074,3.41456272471016,3.3234810603850544,3.3467577775708346,13062155
2011-12-13,3.2769269943237305,3.3589011385710723,3.221265838318702,3.339673300387633,19415613
2011-12-14,3.268831491470337,3.322469199043832,3.238470500138885,3.2749038210728356,12071947
2011-12-15,3.2253148555755615,3.3123487306350854,3.2000138116261687,3.244542913494363,12883337
2011-12-16,3.3801534175872803,3.3801534175872803,3.188881514846722,3.238470121309727,20460943
2011-12-19,3.443911552429199,3.4813565990899806,3.3275286305928744,3.3599130743614767,27451309
2011-12-20,3.3811662197113037,3.5198132503001363,3.359912957884253,3.4307550480022955,20571095
2011-12-21,3.249602794647217,3.40646568622112,3.1979894294465674,3.4054539598947073,19107863
2011-12-22,3.1909055709838867,3.238469844862255,3.0441619037092655,3.1878695162437976,18664633
2011-12-23,3.1909055709838867,3.209121680530786,3.1200634911051353,3.1625682574663854,11168865
2011-12-26,3.13726806640625,3.227337981452406,3.13726806640625,3.1615565041198614,7250142
2011-12-27,2.8235411643981934,3.1372683009436724,2.8235411643981934,3.122088245131462,24479975
2011-12-28,2.7273998260498047,2.7729406507790637,2.637329027485782,2.732459552863632,16964014
2011-12-29,2.688941717147827,2.7881200068654484,2.688941717147827,2.7122184265183753,7556558
2011-12-30,2.7729406356811523,2.7780003624674308,2.6869187135048276,2.700075097617417,10931143
2012-01-04,2.626197099685669,2.811397557070459,2.626197099685669,2.79318122629179,7288372
2012-01-05,2.4996941089630127,2.616076120408502,2.3640825127396106,2.5513072522471565,23224900
2012-01-06,2.5351154804229736,2.556367647728069,2.4146845623177593,2.4582019368221495,10375074
2012-01-09,2.6514980792999268,2.6545334776759972,2.45212951534785,2.5108267257132373,16347009
2012-01-10,2.752699851989746,2.7597839069551338,2.634293494838617,2.641377549804005,21563726
2012-01-11,2.7395436763763428,2.781036501793624,2.712218961965033,2.7425797314338594,18043173
2012-01-12,2.702098846435547,2.8842632587767696,2.69197851618016,2.742579948563417,18554018
2012-01-13,2.5523200035095215,2.702098879288474,2.5300550140045543,2.694003096551823,17313231
2012-01-16,2.4187324047088623,2.530054712231544,2.4086120755375346,2.522970438032884,11408892
2012-01-17,2.5452358722686768,2.578632045050895,2.388371837008737,2.4177211032155412,12589178
2012-01-18,2.3043735027313232,2.599884490476962,2.2912171204176675,2.579643834950223,18346986
2012-01-19,2.3681323528289795,2.408612583584489,2.237581304786273,2.3043743093799076,15183171
2012-01-20,2.4167087078094482,2.4602249806061796,2.368131614256984,2.372179614180676,8173490
2012-01-30,2.4440338611602783,2.509815355252753,2.3893846434873893,2.416709361770679,12410441
2012-01-31,2.4288530349731445,2.4592138073571492,2.379264203903509,2.4592138073571492,9179076
2012-02-01,2.41367244720459,2.475405923904252,2.394443517165911,2.4288525017233202,12354984
2012-02-02,2.4592137336730957,2.468322337234638,2.379264132614941,2.428852962198774,14569459
2012-02-03,2.555356025695801,2.555356025695801,2.421768717123068,2.4308773207966508,24949732
2012-02-06,2.665666103363037,2.8113971671688494,2.518922437604627,2.5381511489159085,49622669
2012-02-07,2.645426034927368,2.708171252488687,2.6231610450636436,2.632269649002152,29785435
2012-02-08,2.6767985820770264,2.696026420859744,2.5938127087364435,2.639353536581578,26196815
2012-02-09,2.655545949935913,2.738531815594823,2.6514979496889426,2.656557676380595,28518294
2012-02-10,2.674773693084717,2.700074952378977,2.621137089736857,2.6413775280487983,19831600
2012-02-13,2.721327543258667,2.7658566422726,2.6312576187445638,2.6322693452308017,30381819
2012-02-14,2.667689561843872,2.7193027108964993,2.6514977807811007,2.7193027108964993,15627055
2012-02-15,2.6899545192718506,2.7000748474814684,2.621136987906073,2.6626298082207884,16522479
2012-02-16,2.7324600219726562,2.755736739355299,2.686919189424942,2.6909669715709277,28476010
2012-02-17,2.7375192642211914,2.8215177401699645,2.730435208368077,2.7527001969400704,20425589
2012-02-20,2.6929914951324463,2.781036885040044,2.6929914951324463,2.7790125561978534,25032487
2012-02-21,2.7243635654449463,2.727399839335341,2.6423896427456657,2.675786685497112,20969918
2012-02-22,2.818481206893921,2.8488419727135583,2.716266635930929,2.717279237878151,35973156
2012-02-23,2.827589511871338,2.893371882865679,2.805325615264083,2.81342139857188,35610566
2012-02-24,2.8822386264801025,2.8822386264801025,2.8164571384337647,2.8245540153024846,25785472
2012-02-27,2.9247443675994873,2.952069084236637,2.859974604046635,2.9176603115194424,44611668
2012-02-28,2.6970391273498535,2.8842632676044397,2.653521969790913,2.8761672660477635,87194049
2012-02-29,2.6484625339508057,2.7213280882369286,2.633281599062946,2.7020991521251685,36027025
2012-03-01,2.6767985820770264,2.696026420859744,2.624173479526869,2.633281207308558,19983774
2012-03-02,2.695014476776123,2.7041230793972293,2.656557707846625,2.6747738186205803,32496012
2012-03-05,2.7081711292266846,2.7223394600037087,2.691978469761078,2.7122191299228318,38840325
2012-03-06,2.5806562900543213,2.7020987149539484,2.5604156305284396,2.7020987149539484,53590853
2012-03-07,2.568512201309204,2.603932694579614,2.533090613570594,2.5502949970034705,27398882
2012-03-08,2.596848726272583,2.6160765631557497,2.5654760131495205,2.5806560687045654,25146150
2012-03-09,2.656558036804199,2.658582584436483,2.595836273712139,2.600896876664974,31021985
2012-03-12,2.725375175476074,2.7506755597367154,2.6676896952153495,2.668702297220746,42754176
2012-03-13,2.770916223526001,2.779012224566495,2.691978352785046,2.7324596713494964,40221401
2012-03-14,2.6130402088165283,2.798240645849382,2.5806559891470835,2.7931809193452133,54987895
2012-03-15,2.605956554412842,2.636317325933814,2.5310675560882974,2.58672871516746,29592337
2012-03-16,2.7172794342041016,2.7193028870956764,2.605956253332839,2.605956253332839,31772566
2012-03-19,2.7172794342041016,2.7172794342041016,2.7172794342041016,2.7172794342041016,0
2012-03-20,2.684894561767578,2.791157157897578,2.6697145035971284,2.762820713675754,49005565
2012-03-21,2.666677951812744,2.716266774693965,2.5806560329718327,2.6980504456077643,28369903
2012-03-22,2.6778104305267334,2.7324598642162314,2.651498315841094,2.7324598642162314,21529788
2012-03-23,2.6899545192718506,2.768892378847246,2.655545753588962,2.691977972011603,46335376
2012-03-26,2.787109136581421,2.793181466256321,2.682871088908085,2.70715953203295,58750961
2012-03-27,2.710195302963257,2.812409002867525,2.700074974278383,2.7891322906710436,42362193
2012-03-28,2.4389731884002686,2.671738165469956,2.4389731884002686,2.671738165469956,53555281
2012-03-29,2.327650547027588,2.412659859753846,2.306398164122615,2.3580113129283258,33453526
