代码,名称,收盘价,涨幅%,量比,标签,板块
688378.SH,奥来德,51.75,0.52,1.63,持续,其他
300620.SZ,光库科技,320.3,0.33,1.0,持续,其他
301188.SZ,力诺药包,54.69,0.28,1.29,持续,医药
002585.SZ,双星新材,11.82,0.17,1.94,持续,塑料制品
603060.SH,国检集团,7.22,0.14,0.9,持续,其他
000983.SZ,山西焦煤,7.79,0.13,0.87,持续,煤炭行业
600522.SH,中天科技,46.07,0.02,1.12,持续,电子信息
600222.SH,太龙药业,8.7,0.0,1.07,持续,生物制药
300566.SZ,激智科技,26.96,0.0,1.02,持续,其他
002815.SZ,崇达技术,17.77,-0.22,1.4,持续,其他
301273.SZ,瑞晨环保,47.88,-0.25,0.92,持续,环保
301362.SZ,民爆光电,194.85,-0.45,0.88,持续,电子
600353.SH,旭光电子,26.3,-0.53,1.4,持续,电子器件
603800.SH,洪田股份,76.55,-0.58,0.8,持续,其他
300088.SZ,长信科技,8.36,-0.71,1.23,持续,电子器件
301228.SZ,实朴检测,75.13,-0.84,0.94,持续,其他
600971.SH,恒源煤电,8.38,-1.18,0.84,持续,煤炭行业
600237.SH,铜峰电子,12.07,-1.23,1.23,持续,电子器件
600667.SH,太极实业,16.15,-1.28,1.32,持续,电子器件
600487.SH,亨通光电,96.12,-1.79,1.15,持续,电子信息
300305.SZ,裕兴股份,7.55,-1.82,1.32,持续,塑料制品
688531.SH,日联科技,195.17,-1.91,1.03,持续,其他
301563.SZ,云汉芯城,218.01,-2.78,0.68,持续,次新股
600483.SH,福能股份,11.58,-2.85,1.02,持续,电力行业
000700.SZ,模塑科技,17.29,-2.87,1.33,持续,汽车制造
